day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_decor_kept_cat_tree_p50,board_decor_kept_cat_tree_p95,board_decor_kept_cat_tree_mean,board_decor_kept_cherry_tree_p50,board_decor_kept_cherry_tree_p95,board_decor_kept_cherry_tree_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_in_step_chest_p50,gold_in_step_chest_p95,gold_in_step_chest_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_in_workshop_dupe_p50,love_petals_in_workshop_dupe_p95,love_petals_in_workshop_dupe_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,step_chests_opened_p50,step_chests_opened_p95,step_chests_opened_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,workshop_box_opened_p50,workshop_box_opened_p95,workshop_box_opened_mean,workshop_gift_accessory_p50,workshop_gift_accessory_p95,workshop_gift_accessory_mean,workshop_gift_flower_p50,workshop_gift_flower_p95,workshop_gift_flower_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,diamonds_in_board_milestone_p50,diamonds_in_board_milestone_p95,diamonds_in_board_milestone_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,gold_in_adoption_p50,gold_in_adoption_p95,gold_in_adoption_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,bond_points_gain_p50,bond_points_gain_p95,bond_points_gain_mean
11,0.0,0.0,0,0.0,1.0,0.42,,,,,,,0.0,1.0,0.36,2.0,4.0,2.3,0.5,2.0,0.7,1.0,4.0,1.36,1.0,2.0,0.88,2.0,4.0,1.62,1.0,4.0,1.36,17.0,26.0,17.88,6000.0,6000.0,6000,0.0,0.0,1,30.0,30.0,30,20.0,20.0,20,0.0,0.0,0,21.0,21.0,21,480.0,530.0,489,970.0,970.0,970,4090.0,4367.5,4087,10.0,27.749999999999986,12.3,0.0,0.0,0,6550.0,6550.0,6550,9000.0,9000.0,9000,1.0,1.0,0.58,,,,50.0,200.0,79,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,70.0,22.6,50.0,70.0,44.4,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,3.0,3.0,3,0.0,1.0,0.36,1.0,2.0,1.02,0.0,0.5499999999999972,0.06,0.0,1.0,0.34,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0,0.0,2.0,0.54,,,,,,,0.0,2.0,0.46,2.0,3.0,1.86,1.0,2.549999999999997,1,1.0,3.0,1.1,1.0,3.0,0.86,1.0,3.0,1.56,2.0,4.0,1.62,16.5,30.19999999999999,17.38,6000.0,6000.0,6000,0.0,0.0,1,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,22.0,22.0,22,500.0,550.0,510,3020.0,3020.0,3020,4470.0,4802.5,4460,10.0,25.0,12.3,0.0,0.0,0,6550.0,6550.0,6550,4500.0,4500.0,4500,1.0,1.0,0.52,,,,100.0,250.0,93,200.0,200.0,200,100.0,100.0,100,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,45.0,23,50.0,70.0,43,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,3.0,3.0,3,0.0,1.0,0.2,1.0,2.0,1,0.0,1.0,0.14,0.0,1.0,0.26,0.0,1.0,0.08,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0,0.0,2.0,0.5,,,,,,,0.0,1.5499999999999972,0.5,2.0,4.0,2.12,1.0,3.0,1.12,1.0,3.0,1.16,0.5,2.549999999999997,0.8,1.0,3.0,1.34,1.0,3.0,1.46,17.0,28.099999999999994,17.58,6000.0,6000.0,6000,0.0,27.499999999999858,3,40.0,40.0,40,20.0,20.0,20,0.0,0.0,0,24.0,24.0,24,560.0,610.0,573,570.0,570.0,570,4625.0,4982.5,4636,12.5,32.749999999999986,14.7,0.0,0.0,0,6550.0,6550.0,6550,9000.0,9000.0,9000,1.0,1.0,0.62,,,,100.0,200.0,96,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,60.0,22.4,50.0,70.0,40,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.14,0.0,1.5499999999999972,0.52,0.0,1.0,0.14,0.0,1.0,0.18,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0,0.0,2.0,0.4,,,,,,,0.0,1.0,0.38,2.0,4.0,2.14,1.0,2.549999999999997,0.96,1.0,3.549999999999997,1.18,1.0,3.0,0.84,1.0,3.549999999999997,1.6,1.0,3.549999999999997,1.5,19.0,31.549999999999997,20.94,6000.0,6000.0,6000,0.0,27.499999999999858,3,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,24.0,24.0,24,580.0,630.0,596,2620.0,2620.0,2620,5280.0,5535.0,5206,35.0,67.74999999999999,33.8,0.0,0.0,0,6550.0,6550.0,6550,4500.0,4500.0,4500,1.0,1.0,0.54,,,,100.0,200.0,90,350.0,350.0,350,100.0,100.0,100,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,58.74999999999993,22.3,70.0,70.0,73.2,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,3.0,3.0,3,0.0,1.0,0.28,1.0,3.0,0.96,0.0,1.0,0.14,0.0,1.0,0.26,0.0,0.5499999999999972,0.06,,,,,,,50.0,50.0,50,1.0,1.0,1,50.0,50.0,50,,,,,,
15,0.0,0.0,0,0.0,2.0,0.42,,,,,,,0.0,2.0,0.46,2.0,5.0,2.26,1.0,2.0,0.94,1.0,3.0,1.24,1.0,2.0,0.86,1.5,3.0,1.52,1.0,3.0,1.3,19.0,32.099999999999994,20.26,6000.0,6000.0,6000,0.0,50.0,4,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,24.0,24.0,24,600.0,650.0,620,170.0,170.0,170,5560.0,5860.0,5526,15.0,50.0,18.8,0.0,0.0,0,6550.0,6550.0,6550,9000.0,9000.0,9000,1.0,1.0,0.64,,,,100.0,200.0,90,100.0,100.0,100,100.0,100.0,100,,,,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,65.49999999999997,26,70.0,70.0,61,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,3.0,3.0,3,0.0,1.0,0.26,1.0,2.549999999999997,0.9,0.0,0.0,0.02,0.0,1.0,0.3,0.0,0.0,0.04,,,,,,,,,,2.0,2.0,2,100.0,100.0,100,,,,,,
16,0.0,0.0,0,0.0,1.5499999999999972,0.38,,,,,,,0.0,1.0,0.36,2.0,4.0,1.9,1.0,2.0,0.98,1.0,3.0,1.12,1.0,2.549999999999997,0.94,1.0,3.549999999999997,1.52,2.0,4.549999999999997,1.8,16.0,29.549999999999997,16.98,6000.0,6000.0,6000,0.0,0.0,1,20.0,20.0,20,20.0,20.0,20,0.0,0.0,0,24.0,24.0,24,640.0,690.0,661,2220.0,2220.0,2220,5690.0,6122.5,5702,10.0,27.749999999999986,12.3,0.0,0.0,0,6550.0,6550.0,6550,4500.0,4500.0,4500,1.0,1.0,0.56,,,,100.0,200.0,96,0.0,0.0,0,100.0,100.0,100,,,,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,60.0,21.5,50.0,70.0,48,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.16,0.5,2.0,0.58,0.0,1.0,0.12,0.0,1.0,0.24,0.0,1.0,0.08,,,,,,,,,,1.0,1.0,1,50.0,50.0,50,,,,,,
17,0.0,0.0,0,0.0,1.5499999999999972,0.38,,,,,,,0.0,1.0,0.24,2.0,4.0,2.12,1.0,2.0,0.88,1.0,3.549999999999997,1.26,1.0,2.0,0.88,1.0,4.0,1.5,2.0,4.0,1.74,15.5,26.549999999999997,16.38,6000.0,6000.0,6000,0.0,27.499999999999858,3,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,24.0,24.0,24,660.0,710.0,684,4270.0,4270.0,4270,6020.0,6425.0,6020,10.0,25.0,11.7,0.0,0.0,0,6550.0,6550.0,6550,4500.0,4500.0,4500,1.0,1.0,0.6,,,,50.0,200.0,88,150.0,150.0,150,100.0,100.0,100,,,,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,60.99999999999994,26.4,50.0,70.0,47,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,3.0,3.0,3,0.0,1.0,0.16,1.0,2.0,0.92,0.0,0.5499999999999972,0.06,0.0,1.0,0.22,0.0,1.0,0.12,,,,,,,,,,1.0,1.0,1,50.0,50.0,50,,,,,,
18,0.0,0.0,0,0.0,1.0,0.38,,,,,,,0.0,1.5499999999999972,0.42,1.5,3.0,1.7,1.0,2.0,0.94,2.0,3.549999999999997,1.64,1.0,1.5499999999999972,0.7,1.0,4.0,1.58,1.0,4.0,1.64,16.5,29.64999999999999,17.84,6000.0,6000.0,6000,0.0,50.0,8,30.0,30.0,30,20.0,20.0,20,0.0,0.0,0,24.0,24.0,24,760.0,760.0,742,1320.0,1320.0,1320,6250.0,6705.0,6232,15.0,35.0,17.6,0.0,0.0,0,6550.0,6550.0,6550,9500.0,9500.0,9500,1.0,1.0,0.56,,,,100.0,150.0,82,0.0,0.0,0,100.0,100.0,100,,,,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,70.0,24.5,20.0,70.0,38.6,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,3.0,3.0,3,0.0,1.0,0.36,1.0,3.0,1.12,0.0,1.0,0.1,0.0,1.0,0.26,0.0,1.0,0.08,,,,,,,,,,2.0,2.0,2,100.0,100.0,100,,,,,,
19,0.0,0.0,0,0.0,1.0,0.34,,,,,,,0.0,1.5499999999999972,0.38,2.0,4.0,2.26,1.0,3.0,1.06,1.0,3.0,1.28,1.0,2.549999999999997,0.88,1.0,3.0,1.34,1.0,3.0,1.42,17.0,27.0,17.32,6000.0,6000.0,6000,,,,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,24.0,24.0,24,780.0,780.0,762,3120.0,3120.0,3120,6555.0,6907.5,5911,10.0,25.0,13.4,0.0,0.0,0,6550.0,6550.0,6550,4750.0,4750.0,4750,1.0,1.0,0.64,,,,100.0,200.0,97,200.0,200.0,200,100.0,100.0,100,,,,30.0,30.0,30,100.0,100.0,98,24.0,28.0,24.4,20.0,20.0,20,10.0,65.49999999999997,23.2,50.0,70.0,47.4,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,1.96,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,8.96,2.0,2.0,2,0.0,1.0,0.14,1.0,2.0,0.66,0.0,0.0,0.04,0.0,1.0,0.28,0.0,0.0,0.04,,,,,,,,,,1.0,1.0,1,50.0,50.0,50,0.0,7000.0,700,,,
20,0.0,0.0,0,0.0,2.0,0.62,,,,,,,0.0,1.5499999999999972,0.34,2.0,4.0,1.98,1.0,3.0,1.1,1.0,2.0,1.06,1.0,2.549999999999997,0.98,1.0,3.549999999999997,1.4,1.0,3.0,1.38,16.0,27.099999999999994,16.28,6000.0,6000.0,6000,,,,40.0,40.0,40,20.0,20.0,20,0.0,0.0,0,24.0,26.0,24.3,840.0,840.0,822,170.0,170.0,170,6610.0,6910.0,4597,10.0,45.0,14.9,0.0,0.0,0,6550.0,6550.0,6550,9500.0,9500.0,9500,1.0,1.0,0.62,,,,100.0,227.49999999999986,104,0.0,0.0,0,100.0,100.0,100,,,,30.0,30.0,30,100.0,100.0,93,24.0,28.0,25.28,20.0,20.0,20,20.0,75.49999999999997,28.5,50.0,70.0,47,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,1.86,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,8.86,3.0,3.0,3,0.0,1.0,0.2,1.0,2.0,0.92,0.0,1.0,0.18,0.0,1.0,0.18,0.0,0.0,0.02,,,,,,,,,,2.0,2.0,1.7,100.0,100.0,85,0.0,7000.0,1540,,,
21,0.0,0.0,0,0.0,1.0,0.28,,,,,,,0.0,2.0,0.52,2.0,3.0,1.78,1.0,2.0,1.02,1.0,3.0,1.04,1.0,3.0,0.88,2.0,3.0,1.64,2.0,3.0,1.68,22.0,33.55,22.02,6000.0,6000.0,6000,,,,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,24.0,27.0,24.62,860.0,860.0,842,1970.0,1970.0,1970,340.0,872.4999999999995,634,30.0,70.0,31.7,0.0,0.0,0,6550.0,6550.0,6550,4750.0,4750.0,4750,1.0,1.0,0.52,,,,100.0,177.49999999999986,95,350.0,350.0,350,100.0,100.0,100,,,,30.0,30.0,30,100.0,100.0,92,28.0,28.0,27.84,20.0,20.0,20,20.0,75.49999999999997,31.2,70.0,160.99999999999994,84.4,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,1.84,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,8.84,3.0,3.0,3,0.0,1.0,0.26,1.0,2.0,0.96,0.0,1.0,0.16,0.0,1.0,0.28,0.0,0.0,0.04,,,,,,,50.0,50.0,50,1.0,1.0,0.68,50.0,50.0,34,7000.0,7000.0,4480,,,
22,0.0,0.0,0,0.0,1.5499999999999972,0.48,,,,,,,0.0,1.0,0.34,2.0,4.0,2.36,1.0,2.549999999999997,1.04,1.0,3.0,1.06,1.0,2.0,0.74,1.0,3.549999999999997,1.4,1.0,3.0,1.56,17.5,25.0,17.94,6000.0,6000.0,6000,0.0,0.0,1,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,25.0,28.0,25.58,880.0,880.0,866.2,3770.0,3770.0,3770,520.0,947.4999999999999,576,10.0,50.0,16.5,0.0,0.0,0,6550.0,6550.0,6550,4750.0,4750.0,4750,1.0,1.0,0.62,,,,100.0,200.0,89,100.0,100.0,100,100.0,100.0,100,,,,30.0,30.0,30,100.0,100.0,99,28.0,28.0,28,20.0,20.0,20,10.0,70.0,19.6,50.0,70.0,54.8,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,1.98,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,8.98,2.0,2.0,2,0.0,1.0,0.2,0.0,2.0,0.54,0.0,1.0,0.1,0.0,1.0,0.26,0.0,0.0,0.02,0.0,0.0,3.2,,,,,,,0.0,0.0,0.04,0.0,0.0,2,0.0,0.0,280,,,
23,0.0,0.0,0,0.0,2.0,0.5,,,,,,,0.0,2.0,0.44,2.0,4.549999999999997,2.08,1.0,2.0,0.9,1.0,3.0,1.1,1.0,2.0,0.74,2.0,4.0,1.68,1.0,3.549999999999997,1.56,18.0,32.099999999999994,18.78,6000.0,6000.0,6000,0.0,0.0,2,20.0,20.0,20,20.0,20.0,20,0.0,0.0,0,27.0,28.0,27.28,1000.0,1000.0,977,820.0,820.0,820,650.0,1150.0,703,15.0,52.749999999999986,18.5,0.0,0.0,0,6550.0,6550.0,6550,9500.0,9500.0,9500,1.0,1.0,0.54,,,,100.0,177.49999999999986,82,0.0,0.0,0,100.0,100.0,100,,,,30.0,30.0,30,100.0,100.0,100,28.0,28.0,28,20.0,20.0,20,25.0,82.74999999999999,33.4,50.0,70.0,51.4,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,3.0,3.0,3,0.0,1.0,0.32,1.0,2.0,0.7,0.0,1.0,0.2,0.0,1.0,0.26,,,,80.0,80.0,68.8,,,,,,,0.0,2.0,0.3,0.0,100.0,15,,,,,,
24,0.0,0.0,0,0.0,1.0,0.38,,,,,,,0.0,2.0,0.48,2.0,4.549999999999997,2.24,1.0,2.549999999999997,0.94,1.0,3.0,1.5,0.0,2.0,0.56,1.0,3.549999999999997,1.54,1.0,3.0,1.36,17.0,32.099999999999994,19.36,6000.0,6000.0,6000,0.0,0.0,2,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,28.0,28.0,27.96,1020.0,1020.0,1007,2620.0,2620.0,2620,905.0,1457.5,974,10.0,30.49999999999997,13,0.0,0.0,0,6550.0,6550.0,6550,4750.0,4750.0,4750,1.0,1.0,0.6,,,,50.0,200.0,75,150.0,150.0,150,100.0,100.0,100,,,,30.0,30.0,30,100.0,100.0,100,28.0,28.0,28,20.0,20.0,20,30.0,72.74999999999999,32.3,50.0,70.0,57.8,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,3.0,3.0,3,0.0,1.0,0.26,1.0,2.0,0.76,0.0,1.0,0.1,0.0,1.0,0.28,0.0,0.0,0.02,0.0,80.0,8,,,,,,,0.0,1.0,0.32,0.0,50.0,16,,,,,,
25,0.0,0.0,0,0.0,1.0,0.46,,,,,,,0.0,2.0,0.5,2.0,4.549999999999997,1.86,1.0,3.0,1.08,1.0,3.0,1.2,1.0,2.0,0.82,2.0,3.0,1.6,1.0,3.549999999999997,1.48,17.5,29.549999999999997,18.24,6000.0,6000.0,6000,0.0,0.0,1,30.0,30.0,30,20.0,20.0,20,0.0,0.0,0,28.0,28.0,28,1070.0,1070.0,1058,4170.0,4170.0,4170,1110.0,1660.0,1147,15.0,25.0,13.6,0.0,0.0,0,6550.0,6550.0,6550,5000.0,5000.0,5000,1.0,1.0,0.54,,,,100.0,200.0,95,0.0,0.0,0,100.0,100.0,100,,,,30.0,30.0,30,100.0,100.0,100,28.0,28.0,28,20.0,20.0,20,20.0,55.49999999999997,22.2,50.0,70.0,41.6,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.1,0.0,1.0,0.46,0.0,1.0,0.12,0.0,1.0,0.32,0.0,0.0,0.02,,,,,,,,,,1.0,1.0,0.96,50.0,50.0,48,,,,,,
26,0.0,0.0,0,0.0,2.0,0.54,,,,,,,0.0,2.549999999999997,0.58,2.0,4.0,2.14,1.0,3.0,1.12,1.0,2.549999999999997,0.98,1.0,2.0,0.62,1.0,3.549999999999997,1.42,1.0,3.549999999999997,1.6,17.0,35.099999999999994,19.36,0.0,0.0,0,0.0,0.0,2,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,28.0,28.0,28,1090.0,1090.0,1080,720.0,720.0,720,1490.0,2040.0,1564,10.0,25.0,12.8,0.0,0.0,0,6550.0,6550.0,6550,10000.0,10000.0,10000,1.0,1.0,0.58,,,,100.0,150.0,87,200.0,200.0,200,100.0,100.0,100,,,,30.0,30.0,30,100.0,100.0,100,28.0,28.0,28,20.0,20.0,20,20.0,65.49999999999997,28.4,50.0,70.0,49.2,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,3.0,3.0,3,0.0,1.0,0.28,1.0,2.0,0.82,0.0,0.5499999999999972,0.06,0.0,1.0,0.32,0.0,0.0,0.04,,,,,,,,,,2.0,2.0,2,100.0,100.0,100,,,,5.0,5.0,5
27,0.0,0.0,0,0.0,1.5499999999999972,0.52,,,,,,,0.0,1.0,0.3,2.0,4.0,1.98,1.0,2.0,0.94,1.5,4.0,1.6,1.0,2.0,0.82,1.0,3.0,1.12,1.5,4.0,1.72,17.0,27.549999999999997,17.52,0.0,0.0,0,,,,40.0,40.0,40,20.0,20.0,20,0.0,0.0,0,28.0,28.0,28,1150.0,1150.0,1140,2270.0,2270.0,2270,1670.0,2220.0,1732,10.0,38.24999999999996,12.9,0.0,0.0,0,6550.0,6550.0,6550,5000.0,5000.0,5000,1.0,1.0,0.56,,,,100.0,150.0,88,0.0,0.0,0,100.0,100.0,100,,,,30.0,30.0,30,100.0,100.0,100,28.0,28.0,28,20.0,20.0,20,30.0,75.49999999999997,33.1,50.0,70.0,53,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,3.0,3.0,3,0.0,1.0,0.14,1.0,2.0,0.9,0.0,1.0,0.12,0.0,1.0,0.26,0.0,0.5499999999999972,0.06,,,,,,,,,,1.0,1.0,1,50.0,50.0,50,,,,5.0,5.0,5
28,0.0,0.0,0,0.0,1.5499999999999972,0.54,,,,,,,0.0,2.0,0.52,2.0,4.0,1.8,1.0,2.549999999999997,1.04,1.0,3.0,1.3,1.0,3.0,0.9,1.0,4.0,1.56,1.0,4.0,1.34,20.0,34.099999999999994,21.58,0.0,0.0,0,,,,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,28.0,28.0,28,1170.0,1170.0,1160,3820.0,3820.0,3820,2200.0,2777.5,2259,30.0,65.0,31.1,0.0,0.0,0,6550.0,6550.0,6550,5000.0,5000.0,5000,1.0,1.0,0.66,,,,100.0,200.0,97,350.0,350.0,350,100.0,100.0,100,,,,30.0,30.0,30,100.0,100.0,100,28.0,28.0,28,20.0,20.0,20,20.0,70.0,23.4,70.0,113.99999999999977,75.2,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.1,0.0,1.0,0.48,0.0,1.0,0.1,0.0,1.0,0.22,0.0,0.0,0.02,,,,,,,50.0,50.0,50,1.0,1.0,1,50.0,50.0,50,,,,5.0,5.0,5
29,0.0,0.0,0,0.0,2.0,0.56,,,,,,,0.0,1.0,0.28,2.0,4.0,1.92,1.0,2.0,0.78,1.0,3.0,1.32,1.0,2.0,0.94,1.5,3.0,1.52,2.0,3.0,1.68,18.0,27.0,18.66,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,28.0,28.0,28,1190.0,1190.0,1181,370.0,370.0,370,2580.0,3080.0,2575,17.5,45.0,19.2,0.0,0.0,0,6550.0,6550.0,6550,10000.0,10000.0,10000,1.0,1.0,0.56,,,,100.0,200.0,86,100.0,100.0,100,100.0,100.0,100,,,,30.0,30.0,30,100.0,100.0,100,28.0,28.0,28,20.0,20.0,20,27.5,68.24999999999996,33.1,70.0,70.0,65,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,3.0,3.0,3,0.0,1.0,0.1,1.0,2.0,0.8,0.0,1.0,0.18,0.0,1.0,0.2,0.0,0.5499999999999972,0.06,,,,,,,,,,2.0,2.0,2,100.0,100.0,100,,,,5.0,5.0,5
