day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean
63,0.0,0.0,0,0.0,1.5499999999999972,0.32,,,,0.0,1.0,0.38,0.0,1.0,0.16,1.0,2.0,0.68,0.0,1.0,0.1,1.0,2.0,0.94,0.0,1.0,0.42,8.0,12.549999999999997,7.12,1500.0,1500.0,1500,0.0,1.0,0.26,0.0,0.0,0,0.0,0.0,0,13.0,13.0,13,570.0,645.5,561.6,2900.0,2900.0,2900,2470.0,3975.0,2661,0.0,0.0,0,0.0,0.0,0,800.0,800.0,800,1.0,1.0,0.6,0.0,100.0,26,350.0,350.0,259,28.0,28.0,27.92,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.12,0.0,1.0,0.2,0.0,1.0,0.08,,,,50.0,50.0,50,50.0,50.0,37,50.0,50.0,37,,,
64,0.0,0.0,0,0.0,1.0,0.28,0.0,1.0,0.08,1.0,2.0,0.66,0.0,1.0,0.26,0.0,1.0,0.24,0.0,1.0,0.16,1.0,2.0,0.74,0.0,2.0,0.58,3.0,9.549999999999997,3.84,1500.0,1500.0,1500,0.0,1.0,0.32,0.0,0.0,0,0.0,0.0,0,13.0,13.0,13,570.0,645.5,561.6,3700.0,3700.0,3700,2670.0,4120.0,2771,0.0,0.0,0,5.0,5.0,5,800.0,800.0,800,1.0,1.0,0.64,0.0,154.99999999999972,42,100.0,100.0,68,28.0,28.0,27.92,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.12,0.0,1.0,0.18,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,
65,0.0,0.0,0,0.0,1.0,0.22,0.0,0.0,0.04,0.0,1.0,0.42,0.0,1.0,0.24,0.0,2.0,0.56,0.0,0.0,0.02,1.0,2.0,0.98,0.0,2.0,0.52,3.0,8.0,4.44,1500.0,1500.0,1500,0.0,1.0,0.32,20.0,20.0,13.6,0.0,0.0,0,14.0,14.0,14,590.0,665.5,575.2,250.0,250.0,250,2695.0,4007.499999999999,2697,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.54,0.0,100.0,26,0.0,0.0,0,28.0,28.0,28,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.08,0.0,1.0,0.32,0.0,0.5499999999999972,0.06,4250.0,4250.0,4250,,,,,,,,,,0.0,0.0,100
66,0.0,0.0,0,0.0,1.0,0.3,0.0,1.0,0.12,0.0,2.0,0.44,0.0,1.0,0.16,0.0,1.0,0.46,0.0,1.0,0.22,1.0,2.0,0.84,0.0,2.0,0.46,3.0,11.0,4.68,1500.0,1500.0,1500,0.0,1.0,0.2,0.0,0.0,0,0.0,0.0,0,14.0,14.0,14,590.0,665.5,575.2,1050.0,1050.0,1050,2845.0,4074.9999999999995,2855,0.0,0.0,0,15.0,15.0,15,800.0,800.0,800,1.0,1.0,0.62,0.0,154.99999999999972,38,150.0,150.0,120,28.0,28.0,28,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,0.5499999999999972,0.06,0.0,1.0,0.28,0.0,0.0,0.04,,,,,,,,,,,,,,,
67,0.0,0.0,0,0.0,1.0,0.32,0.0,0.5499999999999972,0.06,0.0,1.5499999999999972,0.46,0.0,1.0,0.24,0.0,1.0,0.32,0.0,1.0,0.2,1.0,2.549999999999997,0.82,0.5,1.5499999999999972,0.58,3.0,9.099999999999994,3.92,1500.0,1500.0,1500,0.0,1.0,0.26,30.0,30.0,22.2,0.0,0.0,0,14.0,14.0,14,610.0,691.0,597.4,1850.0,1850.0,1850,2870.0,4074.9999999999995,2899,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.7,0.0,100.0,44,0.0,0.0,0,28.0,28.0,28,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,0.0,0.02,0.0,1.0,0.24,0.0,0.0,0.04,,,,,,,,,,,,,,,
68,0.0,0.0,0,0.0,1.0,0.3,0.0,0.0,0.02,0.0,1.5499999999999972,0.52,0.0,1.0,0.26,0.0,1.0,0.34,0.0,1.0,0.18,1.0,2.0,0.84,0.0,2.0,0.54,3.0,8.0,4.02,1500.0,1500.0,1500,0.0,1.0,0.2,0.0,0.0,0,0.0,0.0,0,14.0,14.0,14,610.0,691.0,597.4,2650.0,2650.0,2650,3045.0,4275.0,3103,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.52,0.0,100.0,44,200.0,200.0,160,28.0,28.0,28,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.1,0.0,1.0,0.32,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,
69,0.0,0.0,0,0.0,1.0,0.24,0.0,0.0,0.04,0.0,2.0,0.56,0.0,1.0,0.34,0.0,2.0,0.42,0.0,1.0,0.14,1.0,2.0,0.7,0.0,2.0,0.56,3.0,8.0,4,1500.0,1500.0,1500,0.0,1.0,0.36,40.0,40.0,25.6,0.0,0.0,0,14.0,14.0,14,630.0,716.5,623,3450.0,3450.0,3450,3045.0,4329.999999999999,3151,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.64,0.0,200.0,48,0.0,0.0,0,28.0,28.0,28,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,0.5499999999999972,0.06,0.0,1.0,0.28,0.0,0.0,0.02,,,,,,,,,,,,,,,
70,0.0,0.0,0,0.0,1.0,0.22,0.0,0.5499999999999972,0.06,0.0,2.0,0.54,0.0,1.0,0.16,0.0,2.0,0.5,0.0,1.0,0.16,1.0,2.0,0.82,0.0,1.5499999999999972,0.54,7.0,14.649999999999991,6.54,1500.0,1500.0,1500,0.0,1.0,0.44,0.0,0.0,0,0.0,0.0,0,15.0,15.0,15,630.0,716.5,623,0.0,0.0,0,3245.0,4570.0,3279,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.66,0.0,100.0,32,350.0,350.0,196,28.0,28.0,28.16,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.14,0.0,1.0,0.16,0.0,0.0,0.04,4250.0,4250.0,4250,,,,50.0,50.0,28,50.0,50.0,28,0.0,0.0,100
71,0.0,0.0,0,0.0,1.0,0.32,0.0,0.0,0.02,0.5,1.0,0.56,0.0,1.0,0.24,0.0,2.0,0.52,0.0,0.5499999999999972,0.08,1.0,2.0,0.74,0.0,1.0,0.52,3.0,8.0,3.52,1500.0,1500.0,1500,0.0,1.0,0.22,0.0,0.0,0,0.0,0.0,0,15.0,15.0,15,630.0,716.5,623,800.0,800.0,800,3420.0,4670.0,3389,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.66,0.0,100.0,32,100.0,100.0,78,28.0,28.0,28.16,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.1,0.0,1.0,0.2,0.0,0.0,0.04,,,,,,,,,,,,,,,
72,0.0,0.0,0,0.0,1.0,0.24,0.0,0.5499999999999972,0.06,0.0,1.5499999999999972,0.4,0.0,1.0,0.2,0.5,2.0,0.62,0.0,1.0,0.1,1.0,2.0,0.72,0.5,2.0,0.66,3.0,9.649999999999991,3.74,1500.0,1500.0,1500,0.0,1.0,0.26,20.0,20.0,14.8,0.0,0.0,0,15.0,15.0,15,640.0,736.4999999999999,637.8,1600.0,1600.0,1600,3420.0,4647.5,3319,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.66,0.0,100.0,30,0.0,0.0,0,28.0,28.0,28.16,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.14,0.0,1.0,0.16,0.0,0.0,0.04,,,,,,,,,,,,,0.0,0.0,100
73,0.0,0.0,0,0.0,1.0,0.26,,,,0.0,1.5499999999999972,0.46,0.0,1.5499999999999972,0.4,0.0,2.0,0.38,0.0,1.0,0.2,1.0,2.0,0.74,0.0,2.0,0.56,2.0,8.0,3.64,1500.0,1500.0,1500,0.0,1.0,0.38,0.0,0.0,0,0.0,0.0,0,15.0,15.0,15,640.0,736.4999999999999,637.8,2400.0,2400.0,2400,3520.0,4752.5,3472,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.58,0.0,200.0,60,150.0,150.0,93,28.0,28.0,28.16,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.12,0.0,1.0,0.3,,,,,,,,,,,,,,,,,,
74,0.0,0.0,0,0.0,1.0,0.22,0.0,0.0,0.02,0.0,1.5499999999999972,0.46,0.0,1.0,0.26,0.0,1.5499999999999972,0.38,0.0,1.0,0.08,1.0,2.0,0.88,1.0,2.0,0.7,3.0,8.0,3.9,1500.0,1500.0,1500,0.0,1.0,0.22,30.0,30.0,23.4,0.0,0.0,0,15.0,15.0,15,670.0,755.5,661.2,3200.0,3200.0,3200,3495.0,4802.5,3406,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.56,0.0,100.0,34,0.0,0.0,0,28.0,28.0,28.16,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.08,0.0,1.0,0.26,0.0,1.0,0.1,,,,,,,,,,,,,0.0,0.0,100
75,0.0,0.0,0,0.0,1.0,0.34,0.0,0.0,0.04,0.0,2.0,0.5,0.0,1.0,0.22,0.0,1.5499999999999972,0.5,0.0,1.0,0.16,1.0,2.0,0.74,0.0,1.0,0.5,3.0,8.0,4,1500.0,1500.0,1500,0.0,1.0,0.18,0.0,0.0,0,0.0,0.0,0,15.0,15.0,15,670.0,755.5,661.2,4000.0,4000.0,4000,3695.0,4897.5,3408,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.54,0.0,100.0,38,200.0,200.0,164,28.0,28.0,28.16,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.12,0.0,1.0,0.28,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,0.0,0.0,200
76,0.0,0.0,0,0.0,1.0,0.24,0.0,0.5499999999999972,0.06,0.0,2.0,0.54,0.0,1.0,0.24,0.0,1.0,0.36,0.0,1.0,0.12,1.0,2.0,0.96,0.0,2.0,0.48,3.0,9.099999999999994,4.18,1500.0,1500.0,1500,0.0,1.0,0.26,40.0,40.0,29.6,0.0,0.0,0,16.0,16.0,16,700.0,795.5,690.8,550.0,550.0,550,3645.0,4897.5,3344,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.66,0.0,100.0,36,0.0,0.0,0,28.0,32.0,28.32,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,0.5499999999999972,0.06,0.0,1.0,0.26,0.0,0.0,0.02,4250.0,4250.0,4250,,,,,,,,,,0.0,0.0,100
77,0.0,0.0,0,0.0,1.5499999999999972,0.44,0.0,0.0,0.04,0.0,2.0,0.56,0.0,1.0,0.22,0.0,1.5499999999999972,0.42,0.0,0.5499999999999972,0.06,1.0,2.0,0.78,0.0,1.0,0.48,7.0,13.0,7.2,1500.0,1500.0,1500,0.0,1.0,0.28,0.0,0.0,0,0.0,0.0,0,16.0,16.0,16,700.0,795.5,690.8,1350.0,1350.0,1350,3620.0,4675.0,3024,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.66,0.0,100.0,28,350.0,350.0,252,28.0,32.0,28.32,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.08,0.0,1.0,0.2,0.0,0.5499999999999972,0.06,,,,,,,50.0,50.0,36,50.0,50.0,36,0.0,5000.0,600
78,0.0,0.0,0,0.0,1.0,0.2,0.0,0.0,0.06,0.0,2.0,0.54,0.0,1.0,0.2,0.0,1.0,0.36,0.0,0.5499999999999972,0.06,1.0,2.0,0.9,1.0,2.0,0.68,3.0,8.0,4.32,1500.0,1500.0,1500,0.0,1.0,0.36,0.0,0.0,0,0.0,0.0,0,16.0,16.0,16,700.0,795.5,690.8,2150.0,2150.0,2150,3570.0,4697.5,3014,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.68,0.0,100.0,26,100.0,100.0,64,28.0,32.0,28.32,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,0.5499999999999972,0.06,0.0,1.0,0.26,,,,,,,,,,,,,,,,0.0,0.0,100
79,0.0,0.0,0,0.0,1.0,0.18,0.0,1.0,0.08,0.5,2.0,0.66,0.0,1.0,0.32,0.0,1.0,0.46,0.0,0.0,0.06,0.5,2.0,0.64,1.0,2.0,0.6,3.0,9.549999999999997,4.28,1500.0,1500.0,1500,0.0,1.0,0.22,20.0,20.0,15.6,0.0,0.0,0,16.0,16.0,16,715.0,815.5,706.4,2950.0,2950.0,2950,3645.0,4720.0,3052,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.66,0.0,200.0,38,0.0,0.0,0,28.0,32.0,28.32,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,0.0,0.02,0.0,1.0,0.24,0.0,1.0,0.08,,,,,,,,,,,,,,,
80,0.0,0.0,0,0.0,1.0,0.3,0.0,0.0,0.04,1.0,2.0,0.68,0.0,1.0,0.22,0.0,1.0,0.3,0.0,1.0,0.14,1.0,2.0,0.84,0.0,2.0,0.48,3.0,8.0,3.56,1500.0,1500.0,1500,0.0,1.0,0.28,0.0,0.0,0,0.0,0.0,0,16.0,16.0,16,715.0,815.5,706.4,3750.0,3750.0,3750,3620.0,4870.0,3096,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.66,0.0,100.0,36,150.0,150.0,108,28.0,32.0,28.32,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.12,0.0,1.0,0.18,0.0,0.0,0.04,,,,,,,,,,,,,0.0,0.0,100
81,0.0,0.0,0,0.0,1.0,0.3,0.0,0.5499999999999972,0.06,0.0,2.0,0.5,0.0,1.0,0.16,0.0,2.0,0.54,0.0,1.0,0.12,1.0,2.0,0.66,1.0,2.0,0.66,3.0,9.099999999999994,4.3,1500.0,1500.0,1500,0.0,1.0,0.24,30.0,30.0,22.8,0.0,0.0,0,17.0,17.0,17,730.0,845.5,729.2,300.0,300.0,300,3595.0,4780.0,3024,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.56,0.0,100.0,28,0.0,0.0,0,28.0,32.0,28.48,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,0.0,0.04,0.0,1.0,0.28,0.0,1.0,0.12,4250.0,4250.0,4250,,,,,,,,,,0.0,0.0,100
82,0.0,0.0,0,0.0,1.0,0.24,0.0,0.0,0.04,1.0,1.0,0.68,0.0,1.0,0.22,0.0,1.0,0.36,0.0,1.0,0.14,1.0,2.0,0.82,0.0,2.0,0.5,3.0,8.0,4.12,1500.0,1500.0,1500,0.0,1.0,0.2,0.0,0.0,0,0.0,0.0,0,17.0,17.0,17,730.0,845.5,729.2,1100.0,1100.0,1100,3670.0,4820.0,2920,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.62,0.0,200.0,36,200.0,200.0,160,28.0,32.0,28.48,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.08,0.0,1.0,0.28,0.0,0.0,0.02,,,,,,,,,,,,,0.0,2749.999999999986,300
83,0.0,0.0,0,0.0,1.0,0.24,0.0,1.0,0.1,0.0,1.0,0.46,0.0,1.0,0.14,0.0,1.5499999999999972,0.32,0.0,1.0,0.12,1.0,2.0,1,1.0,2.0,0.62,3.0,11.0,4.7,1500.0,1500.0,1500,0.0,1.0,0.3,40.0,40.0,28,0.0,0.0,0,17.0,17.0,17,750.0,871.0,757.2,1900.0,1900.0,1900,3670.0,4875.0,2946,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.66,0.0,100.0,26,0.0,0.0,0,28.0,32.0,28.48,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,0.0,0.02,0.0,1.0,0.28,0.0,0.0,0.04,,,,,,,,,,,,,,,
84,0.0,0.0,0,0.0,1.0,0.3,0.0,0.0,0.02,0.0,2.0,0.48,0.0,1.0,0.2,0.0,1.5499999999999972,0.5,0.0,0.5499999999999972,0.06,1.0,2.0,0.86,0.5,2.0,0.58,7.0,13.0,7.8,1500.0,1500.0,1500,0.0,1.0,0.26,0.0,0.0,0,0.0,0.0,0,17.0,17.0,17,750.0,871.0,757.2,2700.0,2700.0,2700,3420.0,4897.5,2631,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,0.5,1.0,0.5,0.0,100.0,26,350.0,350.0,259,28.0,32.0,28.48,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.18,0.0,1.0,0.3,0.0,0.0,0.02,,,,,,,50.0,50.0,37,50.0,50.0,37,0.0,5000.0,600
85,0.0,0.0,0,0.0,1.0,0.3,0.0,1.0,0.12,0.0,2.0,0.6,0.0,1.0,0.18,0.0,1.0,0.48,0.0,0.0,0.04,1.0,2.0,0.76,0.0,1.0,0.52,3.0,11.0,4.74,1500.0,1500.0,1500,1.0,1.0,0.52,0.0,0.0,0,0.0,0.0,0,17.0,17.0,17,750.0,871.0,757.2,3500.0,3500.0,3500,1495.0,4875.0,2301,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.56,0.0,100.0,22,0.0,100.0,48,28.0,32.0,28.48,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.18,0.0,1.0,0.26,,,,,,,,,,,,,,,,0.0,5000.0,400
86,0.0,0.0,0,0.0,1.0,0.2,0.0,0.0,0.02,0.0,2.0,0.54,0.0,1.0,0.18,0.0,1.0,0.36,0.0,1.0,0.1,1.0,2.0,1.02,0.0,2.0,0.58,3.0,8.0,4.28,1500.0,1500.0,1500,0.0,1.0,0.22,20.0,20.0,15.6,0.0,0.0,0,18.0,18.0,18,770.0,880.0,772.8,50.0,50.0,50,1620.0,4920.0,2329,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.54,0.0,100.0,28,0.0,0.0,0,28.0,32.0,28.72,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.08,0.0,1.0,0.32,0.0,0.5499999999999972,0.06,4250.0,4250.0,4250,,,,,,,,,,,,
87,0.0,0.0,0,0.0,1.5499999999999972,0.4,0.0,0.0,0.02,0.0,1.0,0.42,0.0,1.0,0.22,0.0,2.0,0.56,0.0,1.0,0.22,1.0,2.0,0.7,0.0,2.0,0.46,3.0,8.0,3.72,1500.0,1500.0,1500,0.0,1.0,0.42,0.0,0.0,0,0.0,0.0,0,18.0,18.0,18,770.0,880.0,772.8,850.0,850.0,850,1545.0,4947.5,2260,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.62,0.0,200.0,44,150.0,150.0,87,28.0,32.0,28.72,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.08,0.0,1.0,0.28,0.0,0.0,0.02,,,,,,,,,,,,,0.0,0.0,200
88,0.0,0.0,0,0.0,1.0,0.28,0.0,0.0,0.04,1.0,2.0,0.62,0.0,1.0,0.08,0.0,2.0,0.48,0.0,1.0,0.12,1.0,2.0,0.92,0.0,1.5499999999999972,0.46,3.0,8.0,4.34,1500.0,1500.0,1500,0.0,1.0,0.22,30.0,30.0,23.4,0.0,0.0,0,18.0,18.0,18,800.0,910.0,796.2,1650.0,1650.0,1650,1220.0,4770.0,1980,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,0.0,1.0,0.44,0.0,100.0,20,0.0,0.0,0,28.0,32.0,28.72,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.16,0.0,1.0,0.3,0.0,1.0,0.1,,,,,,,,,,,,,0.0,2749.999999999986,300
89,0.0,0.0,0,0.0,1.0,0.3,0.0,0.0,0.04,0.0,1.5499999999999972,0.4,0.0,1.0,0.28,0.0,1.0,0.28,0.0,1.0,0.14,1.0,2.0,1.06,0.0,1.5499999999999972,0.5,3.0,8.0,3.6,1500.0,1500.0,1500,0.0,1.0,0.46,0.0,0.0,0,0.0,0.0,0,18.0,18.0,18,800.0,910.0,796.2,2450.0,2450.0,2450,1145.0,4797.5,1930,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.6,0.0,100.0,42,200.0,200.0,108,28.0,32.0,28.72,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.16,0.0,1.0,0.2,0.0,0.0,0.04,,,,,,,,,,,,,0.0,0.0,200
90,0.0,0.0,0,0.0,1.0,0.4,0.0,0.0,0.06,0.0,2.0,0.44,0.0,1.5499999999999972,0.3,0.0,1.5499999999999972,0.38,0.0,1.0,0.12,1.0,2.0,0.78,0.0,1.5499999999999972,0.52,3.0,8.0,3.96,1500.0,1500.0,1500,0.0,1.0,0.4,40.0,40.0,24,0.0,0.0,0,18.0,18.0,18,810.0,945.5,820.2,3250.0,3250.0,3250,1120.0,4702.5,1872,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.58,0.0,154.99999999999972,42,0.0,0.0,0,28.0,32.0,28.72,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.1,0.0,1.0,0.26,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,0.0,0.0,100
