day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_decor_kept_cat_tree_p50,board_decor_kept_cat_tree_p95,board_decor_kept_cat_tree_mean,board_decor_kept_cherry_tree_p50,board_decor_kept_cherry_tree_p95,board_decor_kept_cherry_tree_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,workshop_box_opened_p50,workshop_box_opened_p95,workshop_box_opened_mean,workshop_gift_accessory_p50,workshop_gift_accessory_p95,workshop_gift_accessory_mean,workshop_gift_flower_p50,workshop_gift_flower_p95,workshop_gift_flower_mean,diamonds_in_board_milestone_p50,diamonds_in_board_milestone_p95,diamonds_in_board_milestone_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,love_petals_in_workshop_dupe_p50,love_petals_in_workshop_dupe_p95,love_petals_in_workshop_dupe_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,gold_in_adoption_p50,gold_in_adoption_p95,gold_in_adoption_mean
31,3.0,3.0,3,0.0,2.0,0.52,,,,,,,0.0,2.0,0.46,2.0,4.0,2,1.0,3.0,1.28,2.0,3.0,1.5,1.0,2.549999999999997,1,2.0,4.0,1.86,1.0,3.0,1.38,14.0,29.0,16.98,1500.0,1500.0,1500,0.0,1.0,0.3,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,24.0,25.0,24.3,1150.0,1240.0,1151.4,3324.0,3324.0,3324,1020.0,6870.0,3405,10.0,25.0,11.7,5.0,5.0,5,1650.0,1650.0,1650,1485.0,1485.0,1485,,,,1.0,1.0,0.66,,,,100.0,200.0,114,150.0,150.0,105,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,26.08,,,,20.0,20.0,20,20.0,20.0,20,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.1,0.0,1.0,0.22,0.0,0.0,0.02,,,,,,,,,,50.0,50.0,40,,,,,,,,,,,,,0.0,7000.0,1260,,,,,,
32,3.0,3.0,3,0.0,2.0,0.56,,,,,,,0.0,2.0,0.46,2.0,3.549999999999997,1.88,1.0,3.0,1.2,1.0,3.0,1.34,1.0,3.0,0.92,2.0,3.549999999999997,1.72,2.0,4.0,1.7,13.0,29.0,17.08,1500.0,1500.0,1500,0.0,1.0,0.32,30.0,30.0,20.4,20.0,20.0,20,0.0,0.0,0,25.0,26.0,24.82,1210.0,1275.5,1202.8,1959.0,1959.0,1959,595.0,6770.0,2286,10.0,22.749999999999986,10.9,10.0,10.0,10,1650.0,1650.0,1650,1485.0,1485.0,1485,4500.0,4500.0,4500,1.0,1.0,0.56,,,,100.0,250.0,106,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,89,28.0,28.0,26.8,,,,20.0,20.0,20,20.0,50.0,30.8,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,1.78,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,9.78,0.0,1.0,0.16,0.0,1.0,0.24,0.0,0.0,0.04,1.0,1.0,1,0.0,1.0,0.14,0.0,1.0,0.26,0.0,50.0,10,0.0,0.0,1,10.0,25.0,10,,,,,,,0.0,7000.0,1260,0.0,1.0,0.48,0.0,50.0,24
33,3.0,3.0,3,1.0,2.0,0.68,,,,,,,0.0,2.0,0.44,2.0,4.549999999999997,2.6,1.0,3.0,1.04,1.0,3.0,1.3,1.0,3.0,0.9,1.0,4.0,1.54,1.0,3.0,1.46,17.0,27.549999999999997,17.16,1500.0,1500.0,1500,0.0,1.0,0.28,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,26.0,27.0,25.52,1230.0,1305.5,1223.8,594.0,594.0,594,695.0,6920.0,1704,10.0,22.749999999999986,10.9,15.0,15.0,15,1650.0,1650.0,1650,1485.0,1485.0,1485,4500.0,4500.0,4500,1.0,1.0,0.58,,,,100.0,200.0,97,200.0,200.0,144,100.0,100.0,100,,,,100.0,100.0,98,28.0,28.0,27.28,,,,20.0,20.0,20,20.0,20.0,20,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,1.96,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,9.96,0.0,1.0,0.08,0.0,1.0,0.26,0.0,1.0,0.08,,,,,,,,,,,,,0.0,0.0,1,,,,,,,,,,0.0,7000.0,840,0.0,1.0,0.3,0.0,50.0,15
34,3.0,3.0,3,0.0,1.5499999999999972,0.48,,,,,,,0.0,2.0,0.5,2.0,4.549999999999997,2.2,1.0,3.549999999999997,1.02,1.0,3.549999999999997,1.48,1.0,2.0,0.78,2.0,3.0,1.62,2.0,3.0,1.92,16.5,29.549999999999997,18.12,1500.0,1500.0,1500,0.0,1.0,0.28,40.0,40.0,28.8,20.0,20.0,20,0.0,0.0,0,26.0,27.0,25.52,1270.0,1355.5,1272.6,3729.0,3729.0,3729,745.0,6879.999999999999,1514,10.0,20.0,10.8,20.0,20.0,20,1650.0,1650.0,1650,1485.0,1485.0,1485,,,,1.0,1.0,0.6,,,,100.0,177.49999999999986,90,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,27.44,,,,20.0,20.0,20,20.0,50.0,24.6,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.08,0.0,1.0,0.26,0.0,0.5499999999999972,0.06,1.0,1.0,1,0.0,1.0,0.28,0.0,1.0,0.36,,,,,,,0.0,18.249999999999957,4.5,,,,,,,0.0,0.0,280,,,,,,
35,3.0,3.0,3,0.0,1.0,0.44,,,,,,,0.0,1.0,0.4,2.0,4.0,2.22,1.0,3.0,1.1,1.0,4.0,1.56,1.0,3.0,0.96,2.0,5.0,1.86,1.0,3.0,1.38,19.0,30.549999999999997,20.02,1500.0,1500.0,1500,0.0,1.0,0.34,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,27.0,28.0,26.38,1290.0,1375.5,1293.6,2364.0,2364.0,2364,970.0,2017.4999999999986,1209,10.0,20.0,10.8,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4500.0,4500.0,4500,1.0,1.0,0.66,,,,100.0,200.0,103,350.0,350.0,231,100.0,100.0,100,,,,100.0,100.0,96,28.0,28.0,27.84,,,,20.0,20.0,20,70.0,70.0,53,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,1.92,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,9.92,0.0,1.0,0.12,0.0,1.0,0.22,,,,,,,,,,,,,,,,0.0,0.0,1,,,,50.0,50.0,50,50.0,50.0,33,0.0,7000.0,700,0.0,1.0,0.14,0.0,50.0,7
36,3.0,3.0,3,0.0,2.0,0.42,,,,,,,0.0,1.5499999999999972,0.4,2.0,5.0,2.26,1.0,3.549999999999997,1.14,1.0,3.0,1.32,1.0,2.0,0.94,2.0,4.0,1.72,2.0,4.0,1.8,16.5,27.549999999999997,17.3,1500.0,1500.0,1500,0.0,1.0,0.3,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,28.0,28.0,27.04,1310.0,1395.5,1313.6,999.0,999.0,999,1070.0,1974.9999999999998,1260,10.0,25.0,11.1,5.0,5.0,5,1650.0,1650.0,1650,1485.0,1485.0,1485,4500.0,4500.0,4500,1.0,1.0,0.64,,,,100.0,227.49999999999986,104,100.0,100.0,70,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,27.92,,,,20.0,20.0,20,20.0,50.0,26.8,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,0.0,0.02,0.0,1.0,0.28,0.0,0.5499999999999972,0.06,1.0,1.0,1,0.0,1.0,0.24,0.0,1.0,0.28,,,,,,,0.0,18.249999999999957,7.1,,,,,,,0.0,0.0,140,0.0,1.0,0.34,0.0,50.0,17
37,3.0,3.0,3,0.0,1.0,0.44,,,,,,,0.0,1.0,0.38,2.0,5.0,2.26,1.0,3.0,1.36,1.0,3.0,1.38,1.0,2.0,0.9,2.0,4.0,1.6,2.0,4.0,1.68,17.0,25.0,16.84,1500.0,1500.0,1500,0.0,1.0,0.36,20.0,20.0,12.8,20.0,20.0,20,0.0,0.0,0,28.0,28.0,27.04,1345.0,1420.0,1346.4,4134.0,4134.0,4134,1170.0,2097.5,1373,10.0,25.0,10.5,10.0,10.0,10,1650.0,1650.0,1650,1485.0,1485.0,1485,,,,1.0,1.0,0.58,,,,100.0,200.0,113,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,27.92,,,,20.0,20.0,20,20.0,20.0,20.6,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,0.5499999999999972,0.06,0.0,1.0,0.3,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,3.0,3.0,3,0.0,2.0,0.58,,,,,,,0.0,2.0,0.44,3.0,5.0,2.58,1.0,3.0,0.94,1.0,3.0,1.24,1.0,2.0,0.74,2.0,3.0,1.7,2.0,4.0,1.78,17.0,30.549999999999997,17.96,1500.0,1500.0,1500,0.0,1.0,0.26,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,28.0,28.0,27.5,1375.0,1440.0,1368.4,2519.0,2519.0,2519,1370.0,2297.5,1455,10.0,25.0,11.5,10.0,10.0,10,1650.0,1650.0,1650,1485.0,1485.0,1485,4750.0,4750.0,4750,1.0,1.0,0.56,,,,100.0,150.0,84,150.0,150.0,111,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,20.0,50.0,25.8,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.08,0.0,1.0,0.32,0.0,0.0,0.04,1.0,1.0,1,0.0,1.0,0.24,0.0,1.0,0.18,,,,0.0,0.0,2,10.0,10.0,6.8,,,,,,,0.0,0.0,140,1.0,1.0,0.54,50.0,50.0,27
39,3.0,3.0,3,0.0,2.0,0.58,,,,,,,0.0,1.5499999999999972,0.54,2.0,4.0,2.14,1.0,2.0,1.02,1.0,3.0,1.36,1.0,3.0,1.26,1.0,3.0,1.46,1.0,4.0,1.64,18.5,26.0,18.06,1500.0,1500.0,1500,0.0,1.0,0.36,30.0,30.0,19.2,20.0,20.0,20,0.0,0.0,0,28.0,28.0,27.8,1410.0,1485.5,1407.6,904.0,904.0,904,1520.0,2470.0,1604,10.0,25.0,11.5,10.0,10.0,10,1650.0,1650.0,1650,1485.0,1485.0,1485,4750.0,4750.0,4750,1.0,1.0,0.58,,,,100.0,200.0,114,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.1,0.0,1.0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.7,50.0,50.0,35
40,3.0,3.0,3,0.0,1.0,0.46,,,,,,,0.0,2.0,0.5,2.0,4.0,2.14,1.0,3.0,0.98,1.5,2.549999999999997,1.36,0.5,2.0,0.66,2.0,3.549999999999997,1.86,2.0,5.0,2.04,18.0,28.0,18.1,1500.0,1500.0,1500,0.0,1.0,0.28,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,28.0,28.0,27.8,1430.0,1505.5,1427.6,4039.0,4039.0,4039,1770.0,2720.0,1830,10.0,25.0,12.2,10.0,10.0,10,1650.0,1650.0,1650,1485.0,1485.0,1485,,,,1.0,1.0,0.64,,,,75.0,150.0,82,200.0,200.0,144,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,20.0,50.0,24.2,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,0.5499999999999972,0.06,0.0,1.0,0.24,0.0,0.5499999999999972,0.06,1.0,1.0,1,0.0,1.0,0.22,0.0,1.0,0.38,,,,,,,0.0,18.249999999999957,4.9,,,,,,,,,,,,,,,
41,3.0,3.0,3,0.0,1.0,0.32,,,,,,,0.0,2.0,0.52,2.0,4.0,2.06,1.0,3.0,1.2,1.0,4.0,1.44,1.0,3.549999999999997,1.1,1.5,4.0,1.68,1.0,4.0,1.68,15.0,34.0,17.44,1500.0,1500.0,1500,0.0,1.0,0.34,40.0,40.0,26.4,20.0,20.0,20,0.0,0.0,0,28.0,28.0,27.94,1485.0,1580.0,1485,2424.0,2424.0,2424,1945.0,2897.5,1988,10.0,25.0,12.2,10.0,10.0,10,1650.0,1650.0,1650,1485.0,1485.0,1485,4750.0,4750.0,4750,1.0,1.0,0.62,,,,100.0,227.49999999999986,115,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.12,0.0,1.0,0.18,0.0,1.0,0.08,,,,,,,,,,0.0,50.0,11,,,,,,,,,,,,,,,,1.0,1.0,0.86,50.0,50.0,43
42,3.0,3.0,3,0.0,2.0,0.52,,,,,,,0.0,1.0,0.34,3.0,5.0,2.52,1.0,3.0,1.34,1.0,3.0,1.18,0.5,2.0,0.7,1.0,3.0,1.46,2.0,4.0,1.94,19.0,31.0,19.56,1500.0,1500.0,1500,0.0,1.0,0.34,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,28.0,28.0,27.98,1540.0,1641.0,1544,809.0,809.0,809,2370.0,3274.9999999999995,2369,15.0,30.0,15.3,10.0,10.0,10,1650.0,1650.0,1650,1485.0,1485.0,1485,4750.0,4750.0,4750,1.0,1.0,0.62,,,,100.0,200.0,102,350.0,350.0,231,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,70.0,70.0,56.8,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.14,0.0,1.0,0.22,0.0,0.0,0.02,1.0,1.0,1,0.0,1.0,0.26,0.0,1.0,0.24,50.0,50.0,36,0.0,27.499999999999858,3,5.0,25.0,6.9,,,,50.0,50.0,33,,,,1.0,1.0,0.96,50.0,50.0,48
43,3.0,3.0,3,0.0,1.5499999999999972,0.46,,,,,,,0.0,2.0,0.56,2.0,5.0,2.28,1.0,2.549999999999997,0.98,1.0,3.549999999999997,1.42,1.0,3.0,1.06,2.0,4.0,1.96,1.0,3.0,1.28,18.0,29.0,18.28,1500.0,1500.0,1500,0.0,1.0,0.32,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,28.0,28.0,27.98,1570.0,1661.0,1567,3944.0,3944.0,3944,2520.0,3447.5,2539,10.0,25.0,11.7,10.0,10.0,10,1650.0,1650.0,1650,1485.0,1485.0,1485,,,,1.0,1.0,0.62,,,,100.0,200.0,102,100.0,100.0,68,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,20.0,50.0,23.6,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.1,0.0,1.0,0.26,0.0,0.0,0.02,,,,,,,,,,0.0,27.499999999999858,3,,,,,,,,,,,,,,,,,,,,,
44,3.0,3.0,3,1.0,2.0,0.6,,,,,,,0.0,1.0,0.38,2.0,4.099999999999994,2.04,1.0,2.549999999999997,0.96,1.0,3.0,1.54,1.0,2.0,0.78,2.0,5.0,1.94,2.0,4.0,1.76,18.0,25.099999999999994,17.1,1500.0,1500.0,1500,0.0,1.0,0.26,20.0,20.0,14.8,20.0,20.0,20,0.0,0.0,0,28.0,28.0,28,1610.0,1690.0,1603.8,2329.0,2329.0,2329,2670.0,3570.0,2675,10.0,25.0,12,10.0,10.0,10,1650.0,1650.0,1650,1485.0,1485.0,1485,4750.0,4750.0,4750,1.0,1.0,0.62,,,,50.0,200.0,87,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,20.0,50.0,24.8,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.08,0.0,1.0,0.28,0.0,0.0,0.02,1.0,1.0,1,0.0,1.0,0.16,0.0,1.0,0.36,,,,0.0,0.0,2,0.0,10.0,5.1,,,,,,,,,,1.0,1.0,0.98,50.0,50.0,49
45,3.0,3.0,3,0.0,1.0,0.28,,,,,,,0.0,2.0,0.46,2.0,5.0,2.08,1.0,3.0,1.34,1.0,3.0,1.38,1.0,2.0,0.98,1.0,3.549999999999997,1.58,2.0,4.0,1.9,17.0,30.64999999999999,17.78,1500.0,1500.0,1500,0.0,1.0,0.38,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,28.0,28.0,28,1635.0,1710.0,1624.8,714.0,714.0,714,2995.0,3897.5,2934,10.0,25.0,12,10.0,10.0,10,1650.0,1650.0,1650,1485.0,1485.0,1485,4750.0,4750.0,4750,0.5,1.0,0.5,,,,100.0,200.0,116,150.0,150.0,93,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.12,0.0,1.0,0.34,0.0,0.0,0.04,,,,,,,,,,,,,0.0,0.0,1,,,,,,,,,,,,,1.0,1.0,1,50.0,50.0,50
46,3.0,3.0,3,0.0,2.0,0.42,,,,,,,0.0,1.0,0.32,3.0,4.0,2.38,1.0,3.0,1.28,1.0,3.0,1.22,1.0,2.0,1.02,1.0,4.0,1.62,2.0,4.0,1.74,17.0,25.549999999999997,17.24,1500.0,1500.0,1500,0.0,1.0,0.2,30.0,30.0,24,20.0,20.0,20,0.0,0.0,0,28.0,28.0,28,1675.0,1760.0,1668.8,3849.0,3849.0,3849,3095.0,3970.0,3049,10.0,22.749999999999986,8.8,10.0,10.0,10,1650.0,1650.0,1650,1485.0,1485.0,1485,,,,0.0,1.0,0.48,,,,100.0,200.0,115,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,20.0,60.99999999999994,33.4,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.08,0.0,1.0,0.42,0.0,0.0,0.02,1.0,1.0,1,0.0,1.0,0.22,0.0,1.0,0.32,,,,,,,0.0,25.0,10.2,,,,,,,,,,,,,,,
47,3.0,3.0,3,0.0,1.5499999999999972,0.46,,,,,,,0.0,2.0,0.52,2.0,5.0,2.28,1.0,3.0,0.98,1.0,2.549999999999997,1.04,1.0,2.0,0.86,2.0,4.549999999999997,2.06,2.0,3.549999999999997,1.8,18.0,35.099999999999994,18.36,1500.0,1500.0,1500,0.0,1.0,0.3,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,28.0,28.0,28,1695.0,1780.0,1689.8,2234.0,2234.0,2234,3370.0,4347.5,3331,10.0,22.749999999999986,8.8,10.0,10.0,10,1650.0,1650.0,1650,1485.0,1485.0,1485,4750.0,4750.0,4750,1.0,1.0,0.6,,,,100.0,150.0,92,200.0,200.0,140,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,0.0,0.02,0.0,1.0,0.3,0.0,1.0,0.08,,,,,,,,,,,,,0.0,0.0,1,,,,,,,,,,,,,1.0,1.0,1,50.0,50.0,50
48,3.0,3.0,3,0.0,1.5499999999999972,0.46,,,,,,,0.0,1.0,0.44,2.0,4.549999999999997,2.16,1.0,2.0,1.04,1.0,3.549999999999997,1.56,1.0,2.0,0.88,2.0,4.0,1.9,2.0,3.0,1.56,18.0,22.549999999999997,17.44,1500.0,1500.0,1500,0.0,1.0,0.38,40.0,40.0,24.8,20.0,20.0,20,0.0,0.0,0,28.0,28.0,28,1740.0,1840.0,1737.6,619.0,619.0,619,3545.0,4497.5,3477,10.0,25.0,8.6,10.0,10.0,10,1650.0,1650.0,1650,1485.0,1485.0,1485,4750.0,4750.0,4750,1.0,1.0,0.56,,,,100.0,150.0,96,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,20.0,50.0,24.8,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,0.0,0.04,0.0,1.0,0.26,0.0,1.0,0.14,1.0,1.0,1,0.0,1.0,0.2,0.0,1.0,0.34,,,,0.0,27.499999999999858,3,0.0,10.0,4.6,,,,,,,,,,1.0,1.0,1,50.0,50.0,50
49,3.0,3.0,3,0.0,2.549999999999997,0.5,,,,,,,0.0,1.0,0.34,2.0,4.0,2.16,1.0,3.0,1.1,1.0,3.549999999999997,1.64,1.0,2.0,0.8,2.0,3.0,1.62,2.0,4.549999999999997,1.84,19.5,32.099999999999994,20.72,1500.0,1500.0,1500,0.0,1.0,0.18,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,28.0,28.0,28,1760.0,1860.0,1757.6,3754.0,3754.0,3754,3920.0,4870.0,3859,10.0,25.0,8.6,10.0,10.0,10,1650.0,1650.0,1650,1485.0,1485.0,1485,,,,1.0,1.0,0.66,,,,100.0,200.0,95,350.0,350.0,287,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,70.0,70.0,61,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,0.0,0.04,0.0,1.0,0.26,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,41,,,,,,,,,
50,3.0,3.0,3,1.0,2.0,0.64,,,,,,,0.0,2.0,0.44,2.0,5.549999999999997,2.5,1.0,3.0,1.08,1.0,3.549999999999997,1.44,0.5,2.0,0.82,1.5,3.0,1.56,1.0,4.0,1.52,13.0,29.0,17.08,1500.0,1500.0,1500,0.0,1.0,0.26,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,28.0,28.0,28,1780.0,1880.0,1778.6,2139.0,2139.0,2139,4145.0,5170.0,4078,10.0,25.0,10.4,10.0,10.0,10,1650.0,1650.0,1650,1485.0,1485.0,1485,4750.0,4750.0,4750,1.0,1.0,0.62,,,,100.0,200.0,95,100.0,100.0,74,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,20.0,50.0,25.2,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,0.5499999999999972,0.06,0.0,1.0,0.2,0.0,1.0,0.12,1.0,1.0,1,0.0,1.0,0.24,0.0,1.0,0.28,,,,0.0,0.0,1,0.0,25.0,7,,,,,,,,,,1.0,1.0,1,50.0,50.0,50
