day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
21,0.0,0.0,0,0.0,2.0,0.473,0.0,1.0,0.088,1.0,2.0,0.914,0.0,1.0,0.39,1.0,2.0,0.649,0.0,1.0,0.237,1.0,3.0,1.273,1.0,2.0,0.871,9.0,17.0,10.294,5000.0,5000.0,5000,0.0,1.0,0.096,0.0,0.0,0,0.0,1.0,0.105,22.0,22.0,22,330.0,380.0,316.22,950.0,950.0,950,2700.0,3300.0,2713.95,3.0,6.0,2.031,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.615,,,,0.0,200.0,62.7,350.0,350.0,316.4,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.79,0.0,1.0,0.084,0.0,1.0,0.255,0.0,0.0,0.046,0.0,0.0,2.01,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,45.2,50.0,50.0,45.2,,,,,,,,,
22,0.0,0.0,0,0.0,2.0,0.421,0.0,1.0,0.086,1.0,2.0,0.684,0.0,1.0,0.309,0.0,2.0,0.568,0.0,1.0,0.198,1.0,3.0,1.12,1.0,2.0,0.719,4.0,12.0,5.01,5000.0,5000.0,5000,0.0,1.0,0.087,0.0,0.0,0,1.0,1.0,0.895,23.0,23.0,23,330.0,380.0,317.6,1400.0,1400.0,1400,2750.0,3400.0,2755.95,3.0,6.0,2.031,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.635,,,,0.0,200.0,50.7,100.0,100.0,91.3,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.21,0.0,1.0,0.103,0.0,1.0,0.229,0.0,0.0,0.033,0.0,0.0,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,0.0,0,0.0,2.0,0.488,0.0,1.0,0.084,1.0,2.0,0.891,0.0,1.0,0.347,0.0,2.0,0.636,0.0,1.0,0.232,1.0,3.0,1.303,1.0,2.0,0.914,4.0,12.0,5.69,5000.0,6000.0,5224,0.0,1.0,0.113,20.0,20.0,17.74,0.0,1.0,0.105,24.0,24.0,24,340.0,400.0,336.49,350.0,350.0,350,2700.0,3350.0,2713.85,3.0,6.0,3.021,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.621,,,,0.0,200.0,57.9,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.79,0.0,1.0,0.086,0.0,1.0,0.238,0.0,1.0,0.055,0.0,0.0,1.15,,,,1500.0,1500.0,1500,0.0,3.0,0.99,0.0,1.0,0.348,0.0,1.0,0.33,0.0,1.0,0.322,,,,,,,,,,,,,,,,,,
24,0.0,0.0,0,0.0,2.0,0.413,0.0,1.0,0.071,1.0,2.0,0.745,0.0,1.0,0.312,0.0,2.0,0.557,0.0,1.0,0.167,1.0,3.0,1.135,1.0,2.0,0.705,4.0,11.0,5.036,6000.0,6000.0,5670,0.0,1.0,0.111,0.0,0.0,0,1.0,1.0,0.895,24.0,24.0,24,340.0,400.0,336.49,550.0,550.0,550,2800.0,3450.0,2795.1,3.0,9.0,3.999,0.0,0.0,0,4700.0,4700.0,4700,,,,1.0,1.0,0.6,,,,0.0,200.0,47.9,150.0,150.0,133.35,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.21,0.0,1.0,0.107,0.0,1.0,0.251,0.0,0.0,0.042,,,,3000.0,3000.0,3000,1500.0,1500.0,1500,0.0,3.0,0.978,0.0,1.0,0.352,0.0,1.0,0.326,0.0,1.0,0.322,,,,,,,,,,,,,,,,,,
25,0.0,0.0,0,0.0,2.0,0.481,0.0,1.0,0.086,1.0,3.0,0.91,0.0,1.0,0.351,0.0,2.0,0.623,0.0,1.0,0.222,1.0,3.0,1.355,1.0,2.0,0.867,4.0,13.0,5.804,6000.0,6000.0,5942,0.0,1.0,0.107,30.0,30.0,26.79,0.0,1.0,0.105,24.0,24.0,24,360.0,430.0,363.28,750.0,750.0,750,2750.0,3450.0,2752.4,6.0,9.0,4.935,0.0,0.0,0,4700.0,4700.0,4700,,,,1.0,1.0,0.604,,,,0.0,200.0,57.3,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.79,0.0,1.0,0.091,0.0,1.0,0.255,0.0,0.049999999999954525,0.05,,,,3000.0,3000.0,3000,1500.0,1500.0,1500,0.0,3.0,0.936,0.0,1.0,0.343,0.0,1.0,0.312,0.0,1.0,0.345,,,,,,,,,,,,,,,,,,
26,0.0,0.0,0,0.0,2.0,0.405,0.0,1.0,0.08,1.0,2.0,0.755,0.0,1.0,0.277,0.0,2.0,0.526,0.0,1.0,0.189,1.0,3.0,1.104,1.0,2.0,0.769,4.0,12.0,5.064,5000.0,5000.0,5000,0.0,1.0,0.088,0.0,0.0,0,1.0,1.0,0.895,24.0,24.0,24,360.0,430.0,363.28,950.0,950.0,950,2850.0,3550.0,2881.4,6.0,12.0,5.886,0.0,0.0,0,4700.0,4700.0,4700,,,,1.0,1.0,0.62,,,,0.0,200.0,46.6,200.0,200.0,182.4,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.21,0.0,1.0,0.097,0.0,1.0,0.238,0.0,0.0,0.045,,,,3000.0,3000.0,3000,1500.0,1500.0,1500,0.0,3.0,0.951,0.0,1.0,0.334,0.0,1.0,0.317,0.0,1.0,0.349,,,,,,,,,,,,,,,,,,
27,0.0,0.0,0,0.0,2.0,0.485,0.0,1.0,0.09,1.0,2.0,0.941,0.0,1.0,0.347,0.0,2.0,0.652,0.0,1.0,0.227,1.0,3.0,1.348,1.0,2.0,0.805,4.0,12.0,5.811,5000.0,5000.0,5000,0.0,1.0,0.084,40.0,40.0,36.64,0.0,1.0,0.105,24.0,24.0,24,400.0,470.0,399.92,1150.0,1150.0,1150,2850.0,3550.0,2838.8,6.0,12.0,6.853,0.0,0.0,0,4700.0,4700.0,4700,,,,1.0,1.0,0.616,,,,0.0,200.0,57.4,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.79,0.0,1.0,0.088,0.0,1.0,0.25,0.0,0.0,0.046,,,,3000.0,3000.0,3000,1500.0,1500.0,1500,0.0,3.0,0.987,0.0,1.0,0.34,0.0,1.0,0.329,0.0,1.0,0.331,,,,,,,0.0,0.0,0.02,,,,,,,,,
28,0.0,0.0,0,0.0,2.0,0.393,0.0,1.0,0.079,1.0,2.0,0.759,0.0,1.0,0.269,0.0,2.0,0.596,0.0,1.0,0.178,1.0,3.0,1.107,1.0,2.0,0.724,9.0,17.0,9.637,5000.0,6000.0,5075,0.0,1.0,0.102,0.0,0.0,0,1.0,1.0,0.895,24.0,24.0,24,400.0,470.0,399.92,1350.0,1350.0,1350,3100.0,3800.0,3097.8,9.0,15.0,7.864,0.0,0.0,0,4700.0,4700.0,4700,,,,1.0,1.0,0.575,,,,0.0,200.0,44.7,350.0,350.0,314.3,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.21,0.0,1.0,0.124,0.0,1.0,0.25,0.0,1.0,0.051,,,,3000.0,3000.0,3000,1500.0,1500.0,1500,0.0,3.0,1.011,0.0,1.0,0.322,0.0,1.0,0.337,0.0,1.0,0.341,,,,50.0,50.0,44.9,50.0,50.0,44.9,,,,,,,,,
29,0.0,0.0,0,0.0,2.0,0.471,0.0,1.0,0.087,1.0,2.0,0.882,0.0,1.0,0.345,1.0,2.0,0.693,0.0,1.0,0.21,1.0,3.0,1.334,1.0,2.0499999999999545,0.873,5.0,12.0,5.985,5000.0,6000.0,5224,0.0,1.0,0.087,0.0,0.0,0,0.0,1.0,0.105,24.0,24.0,24,400.0,470.0,399.92,50.0,50.0,50,3150.0,3900.0,3144.6,9.0,15.0,7.864,0.0,0.0,0,4700.0,4700.0,4700,,,,1.0,1.0,0.595,,,,0.0,200.0,55.5,100.0,100.0,91.3,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.79,0.0,1.0,0.083,0.0,1.0,0.284,0.0,0.0,0.038,,,,6000.0,6000.0,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,0.0,0,0.0,2.0,0.427,0.0,1.0,0.063,1.0,2.0,0.724,0.0,1.0,0.294,0.0,2.0,0.587,0.0,1.0,0.185,1.0,3.0,1.067,1.0,2.0,0.758,4.0,11.0,4.983,5000.0,6000.0,5351,0.0,1.0,0.107,20.0,20.0,17.86,1.0,1.0,0.895,24.0,24.0,24,420.0,490.0,417.78,250.0,250.0,250,3100.0,3850.0,3092.5,9.0,15.0,8.798,0.0,0.0,0,4700.0,4700.0,4700,,,,1.0,1.0,0.582,,,,0.0,200.0,47.9,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.21,0.0,1.0,0.111,0.0,1.0,0.252,0.0,1.0,0.055,,,,3000.0,3000.0,3000,1500.0,1500.0,1500,0.0,3.0,1.014,0.0,1.0,0.296,0.0,1.0,0.338,0.0,1.0,0.366,,,,,,,0.0,0.0,0.08,,,,,,,,,
31,0.0,0.0,0,0.0,2.0,0.472,0.0,1.0,0.09,1.0,2.0,0.895,0.0,1.0,0.342,0.0,2.0,0.627,0.0,1.0,0.208,1.0,3.0,1.323,1.0,2.0,0.938,5.0,13.0,5.953,5000.0,6000.0,5425,0.0,1.0,0.114,0.0,0.0,0,0.0,1.0,0.105,24.0,24.0,24,420.0,490.0,417.78,450.0,450.0,450,3200.0,3950.0,3180.4,9.0,15.0,9.468,25.0,25.0,25,4700.0,4700.0,4700,,,,1.0,1.0,0.585,,,,0.0,200.0,55,150.0,150.0,132.9,,,,100.0,100.0,100,24.0,24.0,24,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.79,0.0,1.0,0.105,0.0,1.0,0.259,0.0,1.0,0.051,,,,3000.0,3000.0,3000,1500.0,1500.0,1500,0.0,3.0,0.93,0.0,1.0,0.328,0.0,1.0,0.31,0.0,1.0,0.362,,,,,,,0.0,0.0,0.26,,,,,,,,,
32,0.0,0.0,0,0.0,2.0,0.427,0.0,1.0,0.071,1.0,2.0,0.668,0.0,1.0,0.311,0.0,2.0,0.548,0.0,1.0,0.208,1.0,3.0,1.11,1.0,2.0,0.762,4.0,12.0,4.972,5000.0,6000.0,5450,0.0,1.0,0.094,30.0,30.0,27.18,1.0,1.0,0.895,24.0,24.0,24,450.0,520.0,444.96,650.0,650.0,650,3100.0,3950.0,3132.3,9.0,18.0,10.249,50.0,50.0,50,4700.0,4700.0,4700,,,,1.0,1.0,0.621,,,,0.0,200.0,51.9,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.21,0.0,1.0,0.088,0.0,1.0,0.233,0.0,1.0,0.058,,,,3000.0,3000.0,3000,1500.0,1500.0,1500,0.0,3.0,1.101,0.0,1.0,0.322,0.0,1.0,0.367,0.0,1.0,0.311,,,,,,,0.0,0.0,0.32,,,,,,,,,
33,0.0,0.0,0,0.0,2.0,0.528,0.0,1.0,0.086,1.0,2.0,0.919,0.0,1.0,0.348,0.0,2.0,0.609,0.0,1.0,0.208,1.0,3.0,1.302,1.0,2.0,0.895,4.0,13.0,5.834,5000.0,6000.0,5257,0.0,1.0,0.098,0.0,0.0,0,0.0,1.0,0.105,24.0,24.0,24,450.0,520.0,444.96,850.0,850.0,850,3250.0,4050.0,3268.3,12.0,18.0,10.819,75.0,75.0,75,4700.0,4700.0,4700,,,,1.0,1.0,0.597,,,,0.0,200.0,55.6,200.0,200.0,180.4,,,,100.0,100.0,100,24.0,24.0,24,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.79,0.0,1.0,0.097,0.0,1.0,0.246,0.0,1.0,0.06,,,,3000.0,3000.0,3000,1500.0,1500.0,1500,0.0,3.0,0.99,0.0,1.0,0.333,0.0,1.0,0.33,0.0,1.0,0.337,,,,,,,0.0,0.0,0.42,,,,,,,,,
34,0.0,0.0,0,0.0,2.0,0.414,0.0,1.0,0.085,1.0,2.0,0.727,0.0,1.0,0.271,0.0,2.0,0.542,0.0,1.0,0.177,1.0,3.0,1.143,1.0,2.0,0.746,4.0,12.0,5.283,5000.0,6000.0,5054,0.0,1.0,0.097,40.0,40.0,36.12,1.0,1.0,0.895,24.0,24.0,24,480.0,560.0,481.08,1050.0,1050.0,1050,3200.0,4050.0,3213.1,12.0,18.0,11.177,100.0,100.0,100,4700.0,4700.0,4700,,,,1.0,1.0,0.609,,,,0.0,200.0,44.8,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.21,0.0,1.0,0.1,0.0,1.0,0.241,0.0,0.049999999999954525,0.05,,,,3000.0,3000.0,3000,1500.0,1500.0,1500,0.0,3.0,0.978,0.0,1.0,0.327,0.0,1.0,0.326,0.0,1.0,0.347,,,,,,,0.0,0.0,0.62,,,,,,,,,
35,0.0,0.0,0,0.0,2.0,0.481,0.0,1.0,0.093,1.0,2.0499999999999545,0.923,0.0,1.0,0.364,1.0,2.0,0.646,0.0,1.0,0.234,1.0,3.0,1.359,1.0,2.0,0.795,9.0,17.0,10.475,5000.0,6000.0,5224,0.0,1.0,0.104,0.0,0.0,0,0.0,1.0,0.105,24.0,24.0,24,480.0,560.0,481.08,1250.0,1250.0,1250,3750.0,4550.0,3731.5,12.0,18.0,11.305,0.0,0.0,0,4700.0,4700.0,4700,,,,1.0,1.0,0.598,,,,0.0,200.0,59.8,350.0,350.0,313.6,,,,100.0,100.0,100,24.0,24.0,24.004,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.79,0.0,1.0,0.117,0.0,1.0,0.243,0.0,0.0,0.042,,,,3000.0,3000.0,3000,1500.0,1500.0,1500,0.0,3.0,1.008,0.0,1.0,0.328,0.0,1.0,0.336,0.0,1.0,0.336,250.0,250.0,250,50.0,50.0,44.8,50.0,50.0,45.68,0.0,0.0,5,,,,,,
36,0.0,0.0,0,0.0,1.0499999999999545,0.41,0.0,1.0,0.091,1.0,2.0,0.697,0.0,1.0,0.318,0.0,2.0,0.557,0.0,1.0,0.203,1.0,3.0,1.085,1.0,2.0,0.744,4.0,12.0,5.562,5000.0,6000.0,5224,0.0,1.0,0.094,0.0,0.0,0,1.0,1.0,0.895,24.0,24.0,24.001,480.0,560.0,481.08,1450.0,1450.0,1448.75,3750.0,4552.499999999998,3734.2,12.0,18.0,10.981,25.0,25.0,25,4700.0,4700.0,4700,0.0,0.0,4.25,1.0,1.0,0.568,,,,0.0,200.0,52.1,100.0,100.0,90.6,,,,100.0,100.0,100,24.0,24.0,24.036,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.21,0.0,1.0,0.113,0.0,1.0,0.263,0.0,1.0,0.056,,,,3000.0,3000.0,2997,1500.0,1500.0,1500,0.0,3.0,1.056,0.0,1.0,0.322,0.0,1.0,0.352,0.0,1.0,0.326,,,,,,,0.0,20.0,1.38,0.0,0.0,40,,,,,,
37,0.0,0.0,0,0.0,2.0,0.489,0.0,1.0,0.078,1.0,2.0,0.856,0.0,2.0,0.385,0.5,2.0,0.646,0.0,1.0,0.235,1.0,3.0,1.349,1.0,2.0,0.852,4.0,12.0,5.645,6000.0,6000.0,5670,0.0,1.0,0.093,20.0,20.0,18.14,0.0,1.0,0.109,24.0,24.0,24.01,500.0,580.0,499.22,150.0,150.0,152.5,3750.0,4550.0,3686.5,12.0,18.0,10.976,50.0,50.0,50,4700.0,4700.0,4700,0.0,0.0,38.25,1.0,1.0,0.607,,,,0.0,200.0,62,0.0,0.0,0,,,,100.0,100.0,99.7,24.0,24.0,24.044,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,1.994,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.78,0.0,1.0,0.096,0.0,1.0,0.247,0.0,0.049999999999954525,0.05,,,,6000.0,6000.0,5946,0.0,0.0,12,0.0,0.0,0.015,0.0,0.0,0.002,0.0,0.0,0.005,0.0,0.0,0.001,,,,,,,0.0,0.0,0.02,0.0,0.0,10,,,,,,
38,0.0,0.0,0,0.0,2.0,0.427,0.0,1.0,0.09,1.0,2.0,0.733,0.0,1.0,0.309,0.0,2.0,0.568,0.0,1.0,0.176,1.0,3.0,1.118,1.0,2.0,0.688,4.0,12.0,5.487,5000.0,6000.0,5446,0.0,1.0,0.107,0.0,0.0,0,1.0,1.0,0.891,24.0,24.0,24.021,500.0,580.0,499.22,350.0,350.0,355.25,3800.0,4600.0,3733.95,12.0,18.0,10.766,50.0,50.0,50,4700.0,4700.0,4700,0.0,0.0,46.75,1.0,1.0,0.598,,,,0.0,200.0,48.5,150.0,150.0,133.95,,,,100.0,100.0,100,24.0,24.0,24.072,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.218,0.0,1.0,0.093,0.0,1.0,0.254,0.0,1.0,0.055,,,,3000.0,3000.0,2967,1500.0,1500.0,1483.5,0.0,3.0,0.99,0.0,1.0,0.333,0.0,1.0,0.33,0.0,1.0,0.326,,,,,,,0.0,20.0,1.2,0.0,0.0,35,,,,,,
39,0.0,0.0,0,0.0,2.0,0.499,0.0,1.0,0.095,1.0,2.0,0.883,0.0,2.0,0.352,1.0,2.0,0.645,0.0,1.0,0.201,1.0,3.0,1.32,1.0,2.0,0.889,5.0,13.0,6.142,5000.0,6000.0,5272,0.0,1.0,0.11,30.0,30.0,26.7,0.0,1.0,0.11,24.0,24.0,24.039,530.0,610.0,525.92,550.0,550.0,558.25,3750.0,4600.0,3689.9,12.0,18.0,10.562,50.0,50.0,50,4700.0,4700.0,4700,0.0,0.0,76.5,1.0,1.0,0.609,,,,0.0,200.0,55.3,0.0,0.0,0,,,,100.0,100.0,99.35,24.0,24.0,24.072,,,,5000.0,5000.0,5000,2.0,2.0,1.987,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.768,0.0,1.0,0.095,0.0,1.0,0.25,0.0,0.0,0.046,,,,3000.0,3000.0,2946,1500.0,1500.0,1474.5,0.0,3.0,0.996,0.0,1.0,0.309,0.0,1.0,0.332,0.0,1.0,0.342,,,,,,,0.0,20.0,1.2,,,,,,,,,
40,0.0,0.0,0,0.0,2.0,0.437,0.0,1.0,0.079,1.0,2.0,0.738,0.0,1.0,0.306,0.0,2.0,0.558,0.0,1.0,0.192,1.0,3.0,1.092,1.0,2.0,0.708,4.0,12.0,5.372,5000.0,6000.0,5224,0.0,1.0,0.087,0.0,0.0,0,1.0,1.0,0.89,24.0,24.0,24.056,530.0,610.0,525.92,750.0,750.0,747.5,3850.0,4700.0,3777.3,12.0,18.0,10.225,50.0,50.0,50,4700.0,4700.0,4700,0.0,0.0,72.25,1.0,1.0,0.605,,,,0.0,200.0,49.8,200.0,200.0,182.6,,,,100.0,100.0,100,24.0,24.0,24.108,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.22,0.0,1.0,0.113,0.0,1.0,0.248,0.0,0.0,0.034,,,,3000.0,3000.0,2949,1500.0,1500.0,1489.5,0.0,3.0,0.963,0.0,1.0,0.321,0.0,1.0,0.321,0.0,1.0,0.351,,,,,,,0.0,20.0,1.3,0.0,0.0,45,,,,,,
41,0.0,0.0,0,0.0,2.0,0.473,0.0,1.0,0.085,1.0,2.0,0.928,0.0,1.0,0.377,1.0,2.0,0.665,0.0,1.0,0.217,1.0,3.0,1.313,1.0,2.0,0.825,5.0,13.0,6.151,5000.0,6000.0,5224,0.0,1.0,0.096,40.0,40.0,36.16,0.0,1.0,0.113,24.0,24.0,24.074,570.0,650.0,562.08,950.0,950.0,941.5,3850.0,4700.0,3727.25,10.0,18.0,9.806,50.0,50.0,50,4700.0,4700.0,4700,0.0,0.0,76.5,1.0,1.0,0.592,,,,0.0,200.0,59.4,0.0,0.0,0,,,,100.0,100.0,99.45,24.0,24.0,24.116,,,,5000.0,5000.0,5000,2.0,2.0,1.989,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.766,0.0,1.0,0.096,0.0,1.0,0.264,0.0,0.0,0.048,,,,3000.0,3000.0,2946,1500.0,1500.0,1483.5,0.0,3.0,0.921,0.0,1.0,0.344,0.0,1.0,0.307,0.0,1.0,0.338,,,,,,,0.0,20.0,1.34,0.0,0.0,10,,,,,,
42,0.0,0.0,0,0.0,2.0,0.445,0.0,1.0,0.062,1.0,2.0,0.738,0.0,1.0,0.292,0.0,2.0,0.568,0.0,1.0,0.169,1.0,3.0,1.109,1.0,2.0,0.729,9.0,17.0,9.702,6000.0,6000.0,5670,0.0,1.0,0.088,0.0,0.0,0,1.0,1.0,0.887,24.0,24.0,24.092,570.0,650.0,562.13,1150.0,1150.0,1132.5,4050.0,4800.0,3767.65,10.0,18.0,9.644,50.0,50.0,50,4700.0,4700.0,4700,0.0,0.0,76.5,1.0,1.0,0.596,,,,0.0,200.0,46.1,350.0,350.0,319.2,,,,100.0,100.0,99.9,24.0,28.0,24.296,,,,5000.0,5000.0,5000,2.0,2.0,1.998,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.224,0.0,1.0,0.114,0.0,1.0,0.234,0.0,1.0,0.056,0.0,0.0,0.05,3000.0,3000.0,2946,1500.0,1500.0,1486.5,0.0,3.0,0.918,0.0,1.0,0.329,0.0,1.0,0.306,0.0,1.0,0.356,,,,50.0,50.0,45.6,50.0,50.0,46.68,0.0,0.0,225,,,,,,
