day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_board_clear_p50,gold_in_board_clear_p95,gold_in_board_clear_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,workshop_had_cat_accessory_p50,workshop_had_cat_accessory_p95,workshop_had_cat_accessory_mean,workshop_had_furniture_component_p50,workshop_had_furniture_component_p95,workshop_had_furniture_component_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
78,0.0,0.0,0,0.0,1.0,0.392,0.0,1.0,0.075,1.0,2.0,0.734,0.0,1.0,0.274,0.0,2.0,0.525,0.0,1.0,0.183,1.0,3.0,1.118,1.0,2.0,0.731,9.0,16.0,10.093,9600.0,12000.0,9466.4,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.968,28.0,32.0,29.982,2610.0,2660.0,2634.85,850.0,1350.0,826.75,15420.0,17810.0,12953.78,17.0,27.0,16.151,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,12.75,1.0,1.0,0.6,,,,0.0,200.0,45.7,80.0,80.0,72.8,100.0,100.0,100,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.988,20.0,20.0,20,20.0,20.0,20.4,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8.064,0.0,0.0,0.05,0.0,1.0,0.093,0.0,1.0,0.26,0.0,0.0,0.047,9000.0,9000.0,8988,0.0,1500.0,166.5,0.0,0.0,0.111,0.0,0.0,0.048,0.0,0.0,0.037,0.0,0.0,0.026,0.0,0.0,0.048,0.0,0.0,0.026,,,,,,,0.0,0.0,8,0.0,0.0,0.003,0.0,0.0,0.09
79,0.0,0.0,0,0.0,2.0,0.533,0.0,1.0,0.068,1.0,2.0,0.842,0.0,1.0,0.328,1.0,2.0,0.685,0.0,1.0,0.233,1.0,3.0,1.377,1.0,2.0,0.902,9.0,17.0,10.718,9600.0,12000.0,9496.8,20.0,20.0,20,20.0,20.0,20,0.0,0.0,0.032,28.0,32.0,29.986,2650.0,2700.0,2674.85,800.0,1300.0,741.5,15510.0,17990.0,13098.58,17.0,27.0,16.358,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,21.25,1.0,1.0,0.59,,,,0.0,200.0,56.1,100.0,100.0,88.7,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.988,20.0,20.0,20,20.0,20.0,20.06,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.936,,,,0.0,1.0,0.095,0.0,1.0,0.26,0.0,1.0,0.055,9000.0,9000.0,8973,0.0,1500.0,291,0.0,3.0,0.237,0.0,1.0,0.057,0.0,1.0,0.079,0.0,1.0,0.058,0.0,1.0,0.057,0.0,1.0,0.058,,,,,,,,,,0.0,0.0,0.001,0.0,0.0,0.03
80,0.0,0.0,0,0.0,2.0,0.388,0.0,1.0,0.076,1.0,2.0,0.759,0.0,1.0,0.288,0.0,2.0,0.535,0.0,1.0,0.169,1.0,3.0,1.094,1.0,2.0,0.723,9.0,16.0,10.01,9600.0,12000.0,9571.2,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.968,28.0,32.0,29.988,2670.0,2720.0,2694.85,500.0,1250.0,606,15740.0,18280.0,13367.16,18.0,27.0,16.43,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,8.5,1.0,1.0,0.607,,,,0.0,200.0,45.7,80.0,80.0,72.88,150.0,150.0,150,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.988,20.0,20.0,20,20.0,20.0,20.12,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8.064,,,,0.0,1.0,0.105,0.0,1.0,0.243,0.0,0.0,0.045,9000.0,9000.0,8988,0.0,1500.0,339,0.0,3.0,0.192,0.0,1.0,0.085,0.0,1.0,0.064,0.0,1.0,0.077,0.0,1.0,0.085,0.0,1.0,0.077,,,,,,,,,,,,,,,
81,0.0,0.0,0,0.0,2.0,0.5,0.0,1.0,0.076,1.0,2.0,0.866,0.0,2.0,0.342,1.0,2.0,0.695,0.0,1.0,0.199,1.0,3.0,1.411,1.0,2.0,0.879,10.0,17.049999999999955,10.825,9600.0,12000.0,9552.8,30.0,30.0,30,20.0,20.0,20,0.0,0.0,0.032,28.0,32.0,29.984,2720.0,2770.0,2744.85,700.0,1450.0,806,15870.0,18420.0,13510.62,18.0,27.0,16.48,160.0,160.0,160,9200.0,9200.0,9200,,,,1.0,1.0,0.588,,,,0.0,200.0,54.1,100.0,100.0,89.36,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.988,20.0,20.0,20,20.0,20.0,20.25,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.936,,,,0.0,1.0,0.109,0.0,1.0,0.255,0.0,0.0,0.048,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.004,0.0,0.0,0.3
82,0.0,0.0,0,0.0,1.0,0.384,0.0,1.0,0.073,1.0,2.0,0.717,0.0,1.0,0.283,0.0,2.0,0.569,0.0,1.0,0.175,1.0,3.0,1.054,1.0,2.0,0.777,9.0,16.0,9.944,9600.0,12000.0,9593.6,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.968,28.0,32.0,29.984,2740.0,2790.0,2764.85,650.0,1400.0,707,16160.0,18720.0,13829.38,18.0,27.0,16.524,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,17,1.0,1.0,0.61,,,,0.0,200.0,45.8,80.0,80.0,72.96,200.0,200.0,200,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.988,20.0,20.0,20,20.0,20.0,20.37,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8.064,,,,0.0,1.0,0.108,0.0,1.0,0.232,0.0,0.049999999999954525,0.05,9000.0,9000.0,8982,0.0,1500.0,300,0.0,3.0,0.204,0.0,1.0,0.072,0.0,1.0,0.068,0.0,1.0,0.06,0.0,1.0,0.072,0.0,1.0,0.06,,,,,,,,,,0.0,0.0,0.004,0.0,0.0,0.21
83,0.0,0.0,0,0.0,2.0,0.522,0.0,1.0,0.084,1.0,2.0,0.871,0.0,1.0,0.35,1.0,2.0,0.672,0.0,1.0,0.246,1.0,3.0,1.297,1.0,2.0,0.926,10.0,17.0,10.932,9600.0,12000.0,9508.8,40.0,40.0,40,20.0,20.0,20,0.0,0.0,0.032,28.0,32.0,29.977,2800.0,2850.0,2824.85,600.0,1350.0,624.5,16260.0,18880.0,13977.9,18.0,27.0,16.701,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,17,1.0,1.0,0.604,,,,0.0,200.0,59.6,100.0,100.0,88.92,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.988,20.0,20.0,20,20.0,20.0,20.63,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.936,,,,0.0,1.0,0.081,0.0,1.0,0.273,0.0,0.0,0.042,9000.0,9000.0,8985,0.0,1500.0,280.5,0.0,0.0,0.147,0.0,1.0,0.069,0.0,0.0,0.049,0.0,1.0,0.069,0.0,1.0,0.069,0.0,1.0,0.069,,,,,,,,,,0.0,0.0,0.011,0.0,0.0,0.66
84,0.0,0.0,0,0.0,1.0,0.374,0.0,1.0,0.07,1.0,2.0,0.751,0.0,1.0,0.29,0.0,2.0,0.529,0.0,1.0,0.18,1.0,3.0,1.115,1.0,2.0,0.723,14.0,21.0,14.973,9600.0,12000.0,9459.2,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.968,28.0,32.0,29.973,2820.0,2870.0,2844.85,800.0,1300.0,693.75,16730.0,19360.0,14448.06,18.0,28.0,16.945,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,46.75,1.0,1.0,0.577,,,,0.0,200.0,47,80.0,80.0,73.16,350.0,350.0,350,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.988,20.0,20.0,20,70.0,70.0,70.98,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8.064,,,,0.0,1.0,0.115,0.0,1.0,0.251,0.0,1.0,0.057,9000.0,9000.0,8952,0.0,1500.0,132,0.0,0.0,0.129,0.0,0.0,0.022,0.0,0.0,0.043,0.0,0.0,0.023,0.0,0.0,0.022,0.0,0.0,0.023,,,,50.0,50.0,50,,,,0.0,0.0,0.015,0.0,0.0,1.095
85,0.0,0.0,0,0.0,2.0,0.462,0.0,1.0,0.081,1.0,2.0,0.9,0.0,1.0,0.357,1.0,2.0,0.694,0.0,1.0,0.236,1.0,3.0,1.306,1.0,3.0,0.932,10.0,17.0,10.851,9600.0,12000.0,9600,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0.032,28.0,32.0,29.969,2840.0,2890.0,2864.85,750.0,1250.0,735.5,17020.0,19590.0,14697.48,18.0,28.0,16.864,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,63.75,1.0,1.0,0.611,,,,0.0,200.0,59.3,100.0,100.0,90.12,100.0,100.0,100,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.988,20.0,20.0,20,20.0,20.0,21.54,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.936,,,,0.0,1.0,0.097,0.0,1.0,0.238,0.0,1.0,0.054,9000.0,9000.0,8910,0.0,1500.0,184.5,0.0,0.0,0.147,0.0,0.0,0.036,0.0,0.0,0.049,0.0,0.0,0.038,0.0,0.0,0.036,0.0,0.0,0.038,,,,,,,,,,0.0,0.0,0.019,0.0,0.0,1.312
86,0.0,0.0,0,0.0,1.0,0.418,0.0,1.0,0.093,1.0,2.0,0.721,0.0,1.0,0.272,0.0,2.0,0.541,0.0,1.0,0.181,1.0,3.0,1.087,1.0,2.0,0.719,9.0,17.0,10.145,9600.0,12000.0,9491.2,20.0,20.0,20,20.0,20.0,20,1.0,1.0,0.968,28.0,32.0,29.958,2880.0,2930.0,2904.85,950.0,1450.0,938.5,17090.0,19730.5,14815.06,18.0,28.0,16.933,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,76.5,1.0,1.0,0.63,,,,0.0,200.0,45.3,80.0,80.0,72.28,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.988,20.0,20.0,20,20.0,20.0,21.89,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8.064,,,,0.0,1.0,0.091,0.0,1.0,0.223,0.0,1.0,0.056,9000.0,9000.0,8904,0.0,0.0,16.5,0.0,0.0,0.009,0.0,0.0,0.004,0.0,0.0,0.003,0.0,0.0,0.004,0.0,0.0,0.004,0.0,0.0,0.004,,,,,,,,,,0.0,0.0,0.029,0.0,0.0,1.95
87,0.0,0.0,0,0.0,2.0,0.485,0.0,1.0,0.083,1.0,2.0,0.902,0.0,1.0,0.369,0.0,2.0,0.67,0.0,1.0,0.209,1.0,3.0,1.332,1.0,3.0,0.918,10.0,18.0,10.924,9600.0,12000.0,9606.4,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0.032,28.0,32.0,29.957,2900.0,2950.0,2924.9,900.0,1400.0,846,17300.0,20060.0,15104.52,18.0,28.0,17.003,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,127.5,1.0,1.0,0.591,,,,0.0,200.0,57.8,100.0,100.0,89.66,150.0,150.0,150,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.992,20.0,20.0,20,20.0,20.0,21.93,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.936,0.0,0.0,0.05,0.0,1.0,0.105,0.0,1.0,0.243,0.0,1.0,0.061,9000.0,9000.0,8847,0.0,1500.0,318,0.0,3.0,0.171,0.0,1.0,0.081,0.0,1.0,0.057,0.0,1.0,0.074,0.0,1.0,0.081,0.0,1.0,0.074,,,,,,,0.0,0.0,8,0.0,0.0,0.031,0.0,0.0,1.829
88,0.0,0.0,0,0.0,1.0,0.402,0.0,1.0,0.078,1.0,2.0,0.714,0.0,1.0,0.295,0.0,2.0,0.51,0.0,1.0,0.159,1.0,3.0,1.097,1.0,2.0,0.777,9.0,17.0,10.24,9600.0,12000.0,9631.2,30.0,30.0,30,20.0,20.0,20,1.0,1.0,0.968,28.0,32.0,29.948,2950.0,3000.0,2974.9,600.0,1350.0,691.25,17400.0,20160.0,15222.52,18.0,28.0,16.989,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,140.25,1.0,1.0,0.619,,,,0.0,200.0,45.4,80.0,80.0,72.6,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.992,20.0,20.0,20,20.0,20.0,22.8,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8.064,,,,0.0,1.0,0.089,0.0,1.0,0.253,0.0,0.0,0.039,9000.0,9000.0,8838,0.0,1500.0,376.5,0.0,3.0,0.27,0.0,1.0,0.082,0.0,1.0,0.09,0.0,1.0,0.079,0.0,1.0,0.082,0.0,1.0,0.079,,,,,,,,,,0.0,0.0,0.042,0.0,0.0,2.516
89,0.0,0.0,0,0.0,2.0,0.48,0.0,1.0,0.104,1.0,2.0,0.896,0.0,1.0,0.342,1.0,2.0,0.679,0.0,1.0,0.223,1.0,3.0,1.306,1.0,3.0,0.938,10.0,18.0,11.135,9600.0,12000.0,9566.4,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0.032,28.0,32.0,29.941,2995.0,3020.0,2995,550.0,1300.0,610.5,15430.0,20500.0,15552.78,18.0,28.0,16.946,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,174.25,1.0,1.0,0.585,,,,0.0,200.0,56.5,100.0,100.0,89.76,200.0,200.0,200,100.0,100.0,100,,,,100.0,100.0,100,30.0,32.0,30,20.0,20.0,20,20.0,20.0,23.06,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.936,0.0,0.0,0.1,0.0,1.0,0.112,0.0,1.0,0.248,0.0,1.0,0.055,9000.0,9000.0,8808,0.0,1500.0,298.5,0.0,3.0,0.186,0.0,1.0,0.062,0.0,1.0,0.062,0.0,1.0,0.075,0.0,1.0,0.062,0.0,1.0,0.075,,,,,,,0.0,0.0,16,0.0,0.0,0.048,0.0,0.0,2.831
90,0.0,0.0,0,0.0,1.0,0.382,0.0,1.0,0.08,1.0,2.0,0.701,0.0,1.0,0.28,0.0,2.0,0.61,0.0,1.0,0.165,1.0,3.0,1.115,1.0,2.0,0.699,9.0,17.0,10.305,9600.0,12000.0,9629.6,40.0,40.0,40,20.0,20.0,20,1.0,1.0,0.968,28.0,32.0,29.933,3055.0,3080.0,3055,500.0,1000.0,477.75,15610.0,20641.0,15670.28,18.0,28.0,17.237,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,208.25,1.0,1.0,0.592,,,,0.0,200.0,44.5,80.0,80.0,73,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,30.0,32.0,30,20.0,20.0,20,20.0,20.0,23.49,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8.064,,,,0.0,1.0,0.106,0.0,1.0,0.255,0.0,0.0,0.047,9000.0,9000.0,8778,0.0,1500.0,346.5,0.0,3.0,0.231,0.0,1.0,0.087,0.0,1.0,0.077,0.0,1.0,0.067,0.0,1.0,0.087,0.0,1.0,0.067,,,,,,,,,,0.0,0.0,0.057,0.0,0.0,3.55
