day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_board_clear_p50,gold_in_board_clear_p95,gold_in_board_clear_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,workshop_had_cat_accessory_p50,workshop_had_cat_accessory_p95,workshop_had_cat_accessory_mean,workshop_had_furniture_component_p50,workshop_had_furniture_component_p95,workshop_had_furniture_component_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
11,0.0,0.0,0,0.0,2.0,0.53,0.0,1.0,0.082,1.0,2.0,0.899,0.0,1.0,0.351,0.0,2.0,0.652,0.0,1.0,0.237,1.0,3.0,1.364,1.0,2.0,0.885,10.0,18.0,10.868,5000.0,5000.0,5000,0.0,1.0,0.111,30.0,30.0,26.67,20.0,20.0,20,0.0,0.0,0,12.0,12.0,12,420.0,420.0,403.21,950.0,950.0,950,4030.0,4490.499999999999,4024.39,0.0,3.0,0.966,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.598,300.0,300.0,300,0.0,200.0,58.8,100.0,100.0,89.4,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,10,0.0,1.0,0.088,0.0,1.0,0.266,0.0,0.0,0.048,0.0,30.0,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0,0.0,2.0,0.4,0.0,1.0,0.085,1.0,2.0,0.71,0.0,1.0,0.26,0.0,2.0,0.526,0.0,1.0,0.187,1.0,3.0,1.098,1.0,2.0,0.732,9.0,17.0,10.116,5000.0,5000.0,5000,0.0,1.0,0.118,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.998,13.0,13.0,13,440.0,440.0,425.13,1400.0,1400.0,1400,4310.0,4770.499999999999,4262.75,0.0,3.0,0.966,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.598,,,,0.0,200.0,44.7,80.0,80.0,71.96,200.0,200.0,176.4,100.0,100.0,100,,,,100.0,100.0,99.7,24.0,24.0,24.044,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,1.994,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,7.996,0.0,1.0,0.093,0.0,1.0,0.257,0.0,1.0,0.052,0.0,30.0,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,55,,,,,,
13,0.0,0.0,0,0.0,2.0,0.498,0.0,1.0,0.085,1.0,2.0,0.869,0.0,2.0,0.36,1.0,2.0,0.72,0.0,1.0,0.217,1.0,3.0,1.34,1.0,2.0,0.892,9.0,17.0,10.671,5000.0,6000.0,5216,0.0,1.0,0.091,40.0,40.0,36.36,20.0,20.0,20,0.0,0.0,0.009,14.0,14.0,14,500.0,500.0,482.28,350.0,350.0,350,4430.0,4870.0,4261.46,3.0,6.0,2.043,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.623,,,,0.0,200.0,57.7,100.0,100.0,89.66,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,98.65,24.0,24.0,24.164,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,1.973,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.962,0.0,1.0,0.108,0.0,1.0,0.217,0.0,1.0,0.052,0.0,0.0,0.79,,,,1500.0,1500.0,1500,0.0,3.0,1.077,0.0,1.0,0.313,0.0,1.0,0.359,0.0,1.0,0.328,0.0,1.0,0.313,0.0,1.0,0.328,,,,,,,0.0,0.0,150,,,,,,
14,0.0,0.0,0,0.0,1.0,0.367,0.0,1.0,0.075,1.0,2.0,0.723,0.0,1.0,0.274,0.0,2.0,0.56,0.0,1.0,0.197,1.0,3.0,1.041,1.0,2.0,0.718,14.0,21.0,14.557,6000.0,6000.0,5658,0.0,1.0,0.097,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.954,15.0,15.0,15,520.0,520.0,503.5,800.0,800.0,800,4510.0,4940.0,2958.62,3.0,6.0,2.043,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.572,,,,0.0,200.0,47.1,80.0,80.0,71.76,350.0,350.0,316.05,100.0,100.0,100,,,,100.0,100.0,92.75,24.0,28.0,25.56,20.0,20.0,20,70.0,70.0,65.15,,,,5000.0,5000.0,5000,2.0,2.0,1.855,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,7.91,0.0,1.0,0.114,0.0,1.0,0.265,0.0,0.0,0.049,0.0,0.0,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,45.15,0.0,5000.0,1745,,,,,,
15,0.0,0.0,0,0.0,2.0,0.498,0.0,1.0,0.087,1.0,2.0,0.887,0.0,1.0,0.292,1.0,2.0,0.682,0.0,1.0,0.205,1.0,3.0,1.324,1.0,2.0,0.848,9.0,17.0,10.759,6000.0,6000.0,5941,0.0,1.0,0.098,0.0,0.0,0,20.0,20.0,20,0.0,1.0,0.101,16.0,16.0,16,540.0,560.0,524.97,1250.0,1250.0,1250,440.0,4930.499999999999,1735.37,3.0,6.0,2.043,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.616,,,,0.0,200.0,49.7,80.0,100.0,86.5,100.0,100.0,90.2,100.0,100.0,100,,,,100.0,100.0,89.65,28.0,28.0,26.728,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,1.793,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.646,0.0,1.0,0.091,0.0,1.0,0.247,0.0,0.0,0.046,0.0,0.0,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5000.0,1460,,,,,,
16,0.0,0.0,0,0.0,2.0,0.404,0.0,1.0,0.082,1.0,2.0,0.722,0.0,1.0,0.295,0.0,2.0,0.534,0.0,1.0,0.178,1.0,3.0,1.084,1.0,2.0,0.758,9.0,16.0,10.116,5000.0,5000.0,5000,0.0,1.0,0.1,20.0,20.0,18,20.0,20.0,20,1.0,1.0,0.866,17.0,17.0,17,580.0,610.0,564.52,1700.0,1700.0,1700,450.0,4890.499999999999,1296.78,3.0,6.0,2.043,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.582,,,,0.0,200.0,47.3,80.0,100.0,73.06,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,93.95,28.0,28.0,27.18,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,1.879,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.114,0.0,1.0,0.108,0.0,1.0,0.256,0.0,1.0,0.054,0.0,0.0,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5000.0,565,,,,,,
17,0.0,0.0,0,0.0,2.0,0.476,0.0,1.0,0.089,1.0,2.0,0.886,0.0,1.0,0.337,0.0,2.0,0.647,0.0,1.0,0.22,1.0,3.0,1.295,1.0,2.0,0.871,9.0,17.0,10.63,5000.0,5000.0,5000,0.0,1.0,0.104,0.0,0.0,0,20.0,20.0,20,0.0,1.0,0.157,18.0,18.0,18,600.0,650.0,586.15,2150.0,2150.0,2150,610.0,4712.499999999998,837.13,3.0,6.0,2.043,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.623,,,,0.0,200.0,55.7,80.0,100.0,86.9,150.0,150.0,134.4,100.0,100.0,100,,,,100.0,100.0,96.65,28.0,28.0,27.772,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,1.933,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.642,0.0,1.0,0.093,0.0,1.0,0.226,0.0,1.0,0.058,0.0,0.0,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5000.0,740,,,,,,
18,0.0,0.0,0,0.0,2.0,0.432,0.0,1.0,0.069,1.0,2.0,0.738,0.0,1.0,0.296,0.0,2.0,0.555,0.0,1.0,0.183,1.0,3.0,1.109,1.0,2.0,0.765,9.0,16.0,10.048,5000.0,6000.0,5216,0.0,1.0,0.093,30.0,30.0,27.21,20.0,20.0,20,1.0,1.0,0.83,19.0,19.0,19,650.0,700.0,635.01,2600.0,2600.0,2600,700.0,1380.4999999999995,805.98,3.0,6.0,2.043,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.59,,,,0.0,200.0,47.9,80.0,100.0,74.3,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,98.35,28.0,28.0,27.896,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,1.967,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.294,0.0,1.0,0.11,0.0,1.0,0.252,0.0,0.0,0.048,0.0,0.0,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,155,,,,,,
19,0.0,0.0,0,0.0,2.0,0.481,0.0,1.0,0.074,1.0,2.0,0.854,0.0,1.0,0.345,0.0,2.0,0.619,0.0,1.0,0.242,1.0,3.0,1.3,1.0,2.0,0.911,9.0,17.0,10.51,6000.0,6000.0,5658,0.0,1.0,0.103,0.0,0.0,0,20.0,20.0,20,0.0,1.0,0.171,20.0,20.0,20,670.0,720.0,655.81,50.0,50.0,50,1005.0,1630.0,1016.33,3.0,6.0,2.043,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.611,,,,0.0,200.0,58.7,100.0,100.0,86.9,200.0,200.0,179.4,100.0,100.0,100,,,,100.0,100.0,99.65,28.0,28.0,27.988,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,1.993,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.652,0.0,1.0,0.104,0.0,1.0,0.232,0.0,1.0,0.053,0.0,0.0,0.8,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,115,,,,,,
20,0.0,0.0,0,0.0,2.0,0.397,0.0,1.0,0.077,1.0,2.0,0.764,0.0,1.0,0.284,0.0,2.0,0.599,0.0,1.0,0.182,1.0,3.0,1.134,1.0,2.0,0.734,9.0,17.0,10.129,6000.0,6000.0,5941,0.0,1.0,0.106,40.0,40.0,35.76,20.0,20.0,20,1.0,1.0,0.829,21.0,21.0,21,710.0,780.0,713.07,500.0,500.0,500,1130.0,1750.4999999999995,1133.41,3.0,6.0,2.043,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.612,,,,0.0,200.0,46.6,80.0,100.0,75.48,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,27.992,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.342,0.0,1.0,0.095,0.0,1.0,0.241,0.0,1.0,0.052,0.0,0.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5,,,,,,
21,0.0,0.0,0,0.0,2.0,0.481,0.0,1.0,0.083,1.0,2.0,0.911,0.0,1.0,0.378,1.0,2.0,0.664,0.0,1.0,0.214,1.0,3.0,1.226,1.0,2.0,0.872,14.0,22.0,15.215,5000.0,5000.0,5000,0.0,1.0,0.103,0.0,0.0,0,20.0,20.0,20,0.0,1.0,0.171,22.0,22.0,22,740.0,800.0,735.05,950.0,950.0,950,1580.0,2240.0,1588.52,3.0,6.0,2.043,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.6,,,,0.0,200.0,59.2,80.0,100.0,86.96,350.0,350.0,313.95,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,27.996,20.0,20.0,20,70.0,70.0,64.85,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.658,0.0,1.0,0.079,0.0,1.0,0.262,0.0,1.0,0.059,0.0,0.0,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,44.85,0.0,0.0,5,,,,,,
22,0.0,0.0,0,0.0,2.0,0.423,0.0,1.0,0.103,1.0,2.0,0.704,0.0,1.0,0.311,0.0,2.0,0.573,0.0,1.0,0.194,1.0,3.0,1.153,1.0,2.0,0.71,9.0,17.0,10.242,5000.0,5000.0,5000,0.0,1.0,0.095,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.829,23.0,23.0,23,770.0,820.0,756.43,1400.0,1400.0,1400,1800.0,2460.0,1799.48,3.0,6.0,2.043,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.623,,,,0.0,200.0,50.5,80.0,100.0,74.96,100.0,100.0,90.5,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.342,0.0,1.0,0.108,0.0,1.0,0.235,0.0,0.0,0.034,0.0,0.0,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5,,,,,,
23,0.0,0.0,0,0.0,2.0,0.46,0.0,1.0,0.08,1.0,2.0,0.884,0.0,1.0,0.341,1.0,2.0,0.636,0.0,1.0,0.242,1.0,3.0,1.284,1.0,2.0,0.902,9.0,17.0,10.581,5000.0,6000.0,5216,0.0,1.0,0.112,20.0,20.0,17.76,20.0,20.0,20,0.0,1.0,0.171,24.0,24.0,24,800.0,860.0,795.79,350.0,350.0,350,1940.0,2620.0,1945.16,3.0,6.0,3.021,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.608,,,,0.0,200.0,58.3,80.0,100.0,87.38,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.658,0.0,1.0,0.104,0.0,1.0,0.231,0.0,1.0,0.057,0.0,0.0,1.6,,,,1500.0,1500.0,1500,0.0,3.0,0.978,0.0,1.0,0.344,0.0,1.0,0.326,0.0,1.0,0.33,0.0,1.0,0.344,0.0,1.0,0.33,,,,,,,,,,,,,,,
24,0.0,0.0,0,0.0,2.0,0.415,0.0,1.0,0.086,1.0,2.0,0.7,0.0,1.0,0.289,0.0,2.0,0.558,0.0,1.0,0.189,1.0,3.0,1.18,1.0,2.0,0.754,9.0,17.0,10.236,6000.0,6000.0,5658,0.0,1.0,0.097,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.829,25.0,25.0,25,830.0,880.0,816.84,800.0,800.0,800,2195.0,2890.0,2203.53,3.0,6.0,3.021,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.596,,,,0.0,200.0,47.8,80.0,100.0,75.12,150.0,150.0,135.45,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.342,0.0,1.0,0.102,0.0,1.0,0.254,0.0,0.0,0.048,0.0,0.0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,0.0,0,0.0,2.0,0.448,0.0,1.0,0.08,1.0,2.0,0.881,0.0,1.0,0.327,1.0,2.0,0.663,0.0,1.0,0.239,1.0,3.0,1.313,1.0,2.0,0.878,10.0,17.0,10.745,6000.0,6000.0,5941,0.0,1.0,0.086,30.0,30.0,27.42,20.0,20.0,20,0.0,1.0,0.171,26.0,26.0,26,870.0,930.0,865.71,1250.0,1250.0,1250,2350.0,3030.0,2347.75,3.0,6.0,3.021,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.598,,,,0.0,200.0,56.6,100.0,100.0,87.62,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.658,0.0,1.0,0.092,0.0,1.0,0.258,0.0,1.0,0.052,0.0,0.0,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0,0.0,0,0.0,2.0,0.413,0.0,1.0,0.072,1.0,2.0,0.772,0.0,1.0,0.33,0.0,2.0,0.541,0.0,1.0,0.187,1.0,3.0,1.123,1.0,2.0,0.733,9.0,17.0,10.152,5000.0,5000.0,5000,0.0,1.0,0.093,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.829,27.0,27.0,27,890.0,950.0,887.36,1700.0,1700.0,1700,2655.0,3370.999999999999,2656.01,3.0,6.0,3.021,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.6,,,,0.0,200.0,51.7,80.0,100.0,75.16,200.0,200.0,181.4,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.342,0.0,1.0,0.083,0.0,1.0,0.267,0.0,0.049999999999954525,0.05,0.0,0.0,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0,0.0,0,0.0,2.0,0.476,0.0,1.0,0.08,1.0,2.0,0.868,0.0,1.0,0.325,1.0,2.0,0.659,0.0,1.0,0.253,1.0,3.0,1.349,1.0,2.0,0.819,9.0,17.0,10.725,5000.0,5000.0,5000,0.0,1.0,0.111,40.0,40.0,35.56,20.0,20.0,20,0.0,1.0,0.171,28.0,28.0,28,950.0,1010.0,944.72,2150.0,2150.0,2150,2800.0,3530.0,2800.87,3.0,6.0,3.021,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.591,,,,0.0,200.0,57.8,80.0,100.0,87.06,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.658,0.0,1.0,0.091,0.0,1.0,0.262,0.0,1.0,0.056,0.0,0.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0,0.0,0,0.0,2.0,0.396,0.0,1.0,0.079,1.0,2.0,0.746,0.0,1.0,0.291,0.0,2.0,0.599,0.0,1.0,0.188,1.0,3.0,1.113,1.0,2.0,0.759,14.0,21.049999999999955,14.693,5000.0,6000.0,5066,0.0,1.0,0.108,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.829,28.0,28.0,28,970.0,1030.0,964.72,850.0,850.0,850,3230.0,3990.0,3236.47,3.0,6.0,3.021,0.0,0.0,0,4700.0,4700.0,4700,,,,1.0,1.0,0.589,,,,0.0,200.0,47.9,80.0,100.0,75.5,350.0,350.0,312.2,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,20.0,20.0,20,70.0,70.0,64.6,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.342,0.0,1.0,0.116,0.0,1.0,0.261,0.0,0.0,0.034,,,,6000.0,6000.0,6000,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,44.6,,,,,,,,,
29,0.0,0.0,0,0.0,2.0,0.477,0.0,1.0,0.088,1.0,2.0,0.846,0.0,1.0499999999999545,0.35,1.0,2.0,0.653,0.0,1.0,0.237,1.0,3.0,1.285,1.0,2.0,0.893,9.0,17.0,10.719,5000.0,6000.0,5235,0.0,1.0,0.121,0.0,0.0,0,20.0,20.0,20,0.0,1.0,0.171,28.0,28.0,28,990.0,1050.0,984.72,1050.0,1050.0,1050,3480.0,4260.0,3470.11,3.0,9.0,3.987,0.0,0.0,0,4700.0,4700.0,4700,,,,1.0,1.0,0.603,,,,0.0,200.0,58.7,90.0,100.0,87.04,100.0,100.0,87.9,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.658,0.0,1.0,0.09,0.0,1.0,0.25,0.0,1.0,0.057,,,,3000.0,3000.0,3000,1500.0,1500.0,1500,0.0,3.0,0.966,0.0,1.0,0.334,0.0,1.0,0.322,0.0,1.0,0.344,0.0,1.0,0.334,0.0,1.0,0.344,,,,,,,,,,,,,,,
30,0.0,0.0,0,0.0,2.0,0.444,0.0,1.0,0.074,1.0,2.0,0.766,0.0,1.0,0.316,0.0,2.0,0.521,0.0,1.0,0.194,1.0,3.0,1.097,1.0,2.0,0.759,9.0,16.0,10.139,5000.0,6000.0,5337,0.0,1.0,0.082,20.0,20.0,18.36,20.0,20.0,20,1.0,1.0,0.829,28.0,28.0,28,1020.0,1090.0,1023.08,1250.0,1250.0,1250,3590.0,4400.0,3595.65,6.0,9.0,5.01,0.0,0.0,0,4700.0,4700.0,4700,,,,1.0,1.0,0.599,,,,0.0,200.0,51,80.0,100.0,74.54,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.342,0.0,1.0,0.096,0.0,1.0,0.266,0.0,0.0,0.039,,,,3000.0,3000.0,3000,1500.0,1500.0,1500,0.0,3.0,1.023,0.0,1.0,0.35,0.0,1.0,0.341,0.0,1.0,0.309,0.0,1.0,0.35,0.0,1.0,0.309,,,,,,,,,,,,,,,
